No,ISIN CODE,Year,CASH DIVIDENDS PAID - TOTAL,CASH,TOTAL DEBT,MARKET VALUE,TOTAL SHAREHOLDERS EQUITY,TOTAL ASSETS,FREE CASH FLOW,A_prev,LEV,Q,kz
2,ID1000125503,2017,281126283,902227974,20628248,20837200,3512776690,4303792900,744140209,3637730285,0.005872348,0.005931832,-3.574256142
2,ID1000125503,2018,389343687,798522145,136954865,24352940,4225418067,5207892391,282057210,4303792900,0.032412145,0.005763439,-3.792140645
2,ID1000125503,2019,483562259,1255018477,15986242,28468930,4726432881,5770406613,889504626,5207892391,0.003382306,0.006023344,-4.156173405
2,ID1000125503,2020,309286244,2219784801,883398895,27868690,5207470145,7098239816,1762602058,5770406613,0.169640703,0.005351675,-2.402454438
2,ID1000125503,2021,550420529,2543833654,876606714,25553440,5481524728,7063563680,862907293,7098239816,0.159920233,0.004661739,-3.163423145
2,ID1000125503,2022,352508824,2133399082,755236364,9861230,5889852362,7165447348,1098136479,7063563680,0.128226705,0.001674275,-2.128109992
2,ID1000125503,2023,531759304,2312374490,947683135,14234470,6143367413,7674431978,1450457877,7165447348,0.154261185,0.002317047,-3.083912562
2,ID1000125503,2024,,,,14234470,,,893886208,7674431978,,,
3,ID1000111305,2014,891672598,9234795539,23302726146,35024620,34280470880,79418946717,8213864635,,0.679766804,0.001021708,
3,ID1000111305,2015,1015975774,8196606898,21618565520,19831300,39529489660,82122524148,6991768851,79418946717,0.546897157,0.000501684,0.985848525
3,ID1000111305,2016,1006493333,14514582212,19537587603,53896340,42405094343,87850283027,8229987474,82122524148,0.460736803,0.001270987,0.627975892
3,ID1000111305,2017,1354892762,16375603798,18901587515,60773310,47059294433,92338955216,12722717645,87850283027,0.401654715,0.00129142,0.259599716
3,ID1000111305,2018,3558036985,13351482016,20594575542,51017600,52523726624,1.01E+11,12748381671,92338955216,0.392100425,0.000971325,-0.624742611
3,ID1000111305,2019,2824146686,21891541668,27174250002,44300540,51806555560,99776291675,12917495410,1.01E+11,0.524533038,0.000855115,0.125224136
3,ID1000111305,2020,3640902475,16484592696,21180856741,36463980,52135955055,89275702246,9460864640,99776291675,0.406261988,0.000699402,-0.483231196
3,ID1000111305,2021,2103381088,25842806277,22896481489,52616900,58928490049,1.07E+11,14087911176,89275702246,0.388546889,0.000892894,-0.252763567
3,ID1000111305,2022,9687034279,63418504683,24651791281,122506200,93841121510,1.67E+11,51177262951,1.07E+11,0.262697109,0.001305464,-4.022217002
3,ID1000111305,2023,15197568390,51082989204,22176517715,79005330,1.04E+11,1.6E+11,27271011292,1.67E+11,0.213235747,0.000759667,-3.503497285
3,ID1000111305,2024,,,,125385000,,,30268474574,1.6E+11,,,
4,ID1000106701,2014,253723698,436830969,4126424273,18687600,5390508217,14675816702,-1680849277,,0.765498188,0.00346676,
4,ID1000106701,2015,512162635,1161653371,3884470338,23792900,6090336377,15039721374,2885697957,14675816702,0.637808833,0.003906664,0.318773857
4,ID1000106701,2016,359120445,867086054,4037967110,26844700,6821103731,15567706173,46833655,15039721374,0.591981484,0.003935536,0.83392825
4,ID1000106701,2017,600021341,1771229012,3172915682,30448080,7557990868,16518855153,1249676172,15567706173,0.419809409,0.004028594,-0.438882905
4,ID1000106701,2018,883232882,2171083536,4229775259,13850690,8371108114,19687437205,-286279658,16518855153,0.505282598,0.001654583,-0.688286962
4,ID1000106701,2019,722645086,1657624875,4610102307,15536870,8336274821,21164645012,-772402302,19687437205,0.553017074,0.001863767,0.210092161
4,ID1000106701,2020,395041207,1495054742,4116426875,10919970,8752377209,18439129921,2118780504,21164645012,0.470321008,0.001247658,0.543641376
4,ID1000106701,2021,532903579,2538707027,3057525791,16660980,9345116329,23256685294,1424529087,18439129921,0.327178997,0.001782854,-0.376506152
4,ID1000106701,2022,828961123,4337980751,3016563253,30009860,10968862687,26982394929,4283091055,23256685294,0.275011488,0.002735914,-0.978637539
4,ID1000106701,2023,2467146200,6535625681,4628766141,29909470,11262624208,30053325267,2753188100,26982394929,0.410984692,0.00265564,-2.754241474
4,ID1000106701,2024,,,,26296260,,,1657147640,30053325267,,,
5,ID1000122807,2014,8739000000,12203000000,70072000000,281360400,95611000000,2.33E+11,18031000000,,0.732886383,0.002942762,
5,ID1000122807,2015,8739000000,13979000000,70649000000,267191400,1.02E+11,2.42E+11,27910000000,2.33E+11,0.692637255,0.002619524,0.489330153
5,ID1000122807,2016,6797000000,16975000000,70910000000,332976900,1.12E+11,2.58E+11,23324000000,2.42E+11,0.633125,0.002973008,0.686103964
5,ID1000122807,2017,6798000000,17922000000,74978000000,331964900,1.24E+11,2.91E+11,24021000000,2.58E+11,0.60466129,0.002677136,0.669736722
5,ID1000122807,2018,7687000000,17239000000,85914000000,332976900,1.37E+11,3.41E+11,34508000000,2.91E+11,0.627109489,0.002430488,0.72539205
5,ID1000122807,2019,8542000000,17247000000,92301000000,272251600,1.48E+11,3.47E+11,25943000000,3.41E+11,0.623655405,0.001839538,0.822507789
5,ID1000122807,2020,7445000000,26512000000,79481000000,235816500,1.56E+11,3.33E+11,32887000000,3.47E+11,0.50949359,0.001511644,0.553846433
5,ID1000122807,2021,5340000000,38220000000,72486000000,239865000,1.72E+11,3.62E+11,39460000000,3.33E+11,0.421430233,0.001394564,0.417963441
5,ID1000122807,2022,11409000000,46009000000,70721000000,263142900,1.92E+11,4.07E+11,45492000000,3.62E+11,0.368338542,0.001370536,-0.385703426
5,ID1000122807,2023,26297000000,23971000000,93310000000,235816500,1.99E+11,4.39E+11,44594000000,4.07E+11,0.468894472,0.001185008,-1.276123172
5,ID1000122807,2024,,,,202417600,,,40490000000,4.39E+11,,,
6,ID1000106602,2014,92237426,1060061444,8015168066,8918457,11929535109,21527103157,1092175781,,0.671875978,0.000747595,
6,ID1000106602,2015,0,5800285045,10110306881,8530921,18316693905,29624768353,98524013,21527103157,0.551972257,0.000465746,1.373871859
6,ID1000106602,2016,0,2066671893,9904639374,21867980,18408774653,29420894653,1246054295,29624768353,0.538039036,0.001187911,1.555358825
6,ID1000106602,2017,0,1502495321,9398915312,16701370,18490386110,29707664442,861090345,29420894653,0.508313632,0.000903246,1.499369866
6,ID1000106602,2018,47777374,2549799108,9921199205,16701370,19739211753,33086295120,2418028277,29707664442,0.502613748,0.000846101,1.319773262
6,ID1000106602,2019,306048761,2112216112,8557542073,20305980,18133399321,30065459201,668898807,33086295120,0.471921559,0.001119811,1.010820231
6,ID1000106602,2020,67847901,1443280045,7752802212,27034590,19039428281,31556138949,3158951396,30065459201,0.407197217,0.001419927,1.020738615
6,ID1000106602,2021,402273000,5089160000,6014925000,56712590,20837080000,32804683000,5483891458,31556138949,0.288664487,0.002721715,0.015384775
6,ID1000106602,2022,930871000,4476491000,3154675000,48061520,23712043000,33477546000,2650974721,32804683000,0.133041046,0.002026882,-0.967000799
6,ID1000106602,2023,1910482000,9208814000,2647580000,40611980,30643195000,42667764000,6944348000,33477546000,0.08640026,0.001325318,-2.560029258
6,ID1000106602,2024,,,,37848450,,,836396000,42667764000,,,
7,ID1000085707,2014,0,2889306072,8565923172,1842690,8766022305,28804027262,-175199241,,0.977173326,0.000210208,
7,ID1000085707,2015,0,1626786207,8337337932,928325.3,9857903450,30991200004,1286082382,28804027262,0.845751632,9.42E-05,2.535834109
7,ID1000085707,2016,0,4269514825,7237641510,9946344,11344083559,34590188682,5227143333,30991200004,0.638010243,0.000876787,1.652798056
7,ID1000085707,2017,0,12236336498,12384179103,28477950,14529932156,49420909087,5028222523,34590188682,0.852321881,0.001959951,2.065153321
7,ID1000085707,2018,0,17860820146,38188618709,33092300,16903827340,1.01E+11,2567212332,49420909087,2.259169947,0.001957681,6.564794963
7,ID1000085707,2019,341424542,12328930557,35217500003,87230690,16326888890,99750833341,6555757208,1.01E+11,2.15702454,0.005342763,6.412859574
7,ID1000085707,2020,0,18551966292,40449676966,87317790,18609691011,1.08E+11,5445015511,99750833341,2.173581331,0.00469206,6.524936577
7,ID1000085707,2021,1257779369,29543461549,44118974374,90934770,24901096875,1.32E+11,6882624829,1.08E+11,1.771768312,0.003651838,4.677411417
7,ID1000085707,2022,1173934426,28314018696,61845482876,76403950,24609813088,1.44E+11,-2198936996,1.32E+11,2.513041552,0.003104613,7.271422003
7,ID1000085707,2023,1028829787,31857704154,65828505380,98903280,26015300457,1.56E+11,2361389749,1.44E+11,2.530376518,0.003801735,7.353373971
7,ID1000085707,2024,,,,83568500,,,867286139,1.56E+11,,,
8,ID1000109507,2014,3081876000,,9339102000,309987300,77683086000,5.5E+11,15715354000,,0.120220533,0.003990409,
8,ID1000109507,2015,3772217000,,8758957000,330734600,89369421000,5.91E+11,18995769000,5.5E+11,0.098008434,0.003700758,
8,ID1000109507,2016,4314626000,,10156413000,375889900,1.12E+11,6.73E+11,11948739000,5.91E+11,0.090682259,0.00335616,
8,ID1000109507,2017,5177553000,,9505740000,513797900,1.31E+11,7.47E+11,30259918000,6.73E+11,0.072562901,0.003922121,
8,ID1000109507,2018,6410302000,,9375812000,588243700,1.52E+11,8.22E+11,23419817000,7.47E+11,0.061682974,0.003870024,
8,ID1000109507,2019,8752529000,,11011116000,767035600,1.74E+11,9.16E+11,31995459000,8.22E+11,0.063282276,0.004408251,
8,ID1000109507,2020,13634221000,,12561282000,768866600,1.85E+11,1.07E+12,43003711000,9.16E+11,0.067898822,0.004156036,
8,ID1000109507,2021,13732840000,,12052589000,909214700,2.03E+11,1.22E+12,36049977000,1.07E+12,0.05937236,0.00447889,
8,ID1000109507,2022,19107633000,,10009119000,1080074000,2.21E+11,1.31E+12,54570275000,1.22E+12,0.045290131,0.004887213,
8,ID1000109507,2023,26195948000,,13255226000,1095329000,2.42E+11,1.4E+12,46023242000,1.31E+12,0.054773661,0.004526153,
8,ID1000109507,2024,,,,1241780000,,,41132311000,1.4E+12,,,
9,ID1000094204,2014,1071057000,,29565532000,38002620,32779526000,1.95E+11,4493740000,,0.901951175,0.00115934,
9,ID1000094204,2015,814796000,,24626352000,28229150,33932139000,1.87E+11,11461861000,1.95E+11,0.72575301,0.00083193,
9,ID1000094204,2016,762415000,,22685658000,35677860,35943042000,1.72E+11,5425323000,1.87E+11,0.63115576,0.000992622,
9,ID1000094204,2017,993629000,,24610398000,47349090,38660278000,1.76E+11,2366297000,1.72E+11,0.636580989,0.001224748,
9,ID1000094204,2018,1341456000,,24893565000,70928740,41310606000,1.84E+11,5282461000,1.76E+11,0.602595009,0.001716962,
9,ID1000094204,2019,1444699000,,28354022000,40057870,44937166000,1.91E+11,4105730000,1.84E+11,0.630970409,0.00089142,
9,ID1000094204,2020,1916205000,,20090789000,24189540,43107813000,1.98E+11,11562774000,1.91E+11,0.466059111,0.000561141,
9,ID1000094204,2021,393668000,,13536017000,24963600,44539107000,1.89E+11,18560980000,1.98E+11,0.303913076,0.000560487,
9,ID1000094204,2022,598608000,,12554829000,29027440,46843703000,1.95E+11,9860019000,1.89E+11,0.268015298,0.000619666,
9,ID1000094204,2023,1219591000,,18448025000,26318210,49236617000,2.19E+11,-3248584000,1.95E+11,0.374681002,0.000534525,
9,ID1000094204,2024,,,,24286290,,,2141282000,2.19E+11,,,
10,ID1000095003,2014,5461126000,,53627737000,235042200,1.03E+11,8.51E+11,13775370000,,0.520657641,0.002281963,
10,ID1000095003,2015,4967968000,,57399960000,207322300,1.17E+11,9.05E+11,27398652000,8.51E+11,0.490597949,0.001771985,
10,ID1000095003,2016,6100490000,,57816421000,262762200,1.5E+11,1.03E+12,39617507000,9.05E+11,0.385442807,0.001751748,
10,ID1000095003,2017,6212954000,,64681165000,329174800,1.67E+11,1.12E+12,27275786000,1.03E+12,0.387312365,0.001971107,
10,ID1000095003,2018,9287857000,,1.05E+11,339569900,1.81E+11,1.2E+12,48100626000,1.12E+12,0.580110497,0.001876077,
10,ID1000095003,2019,11256759000,,1.04E+11,323399900,2.05E+11,1.31E+12,34520738000,1.2E+12,0.507317073,0.00157756,
10,ID1000095003,2020,16489280000,,1E+11,279509800,1.89E+11,1.42E+12,31925369000,1.31E+12,0.529100529,0.001478888,
10,ID1000095003,2021,10271552000,,1.16E+11,328020000,2.05E+11,1.72E+12,50266809000,1.42E+12,0.565853659,0.001600098,
10,ID1000095003,2022,16816893000,,1.49E+11,473549800,2.3E+11,1.98E+12,67270783000,1.72E+12,0.647826087,0.002058912,
10,ID1000095003,2023,24702382000,,2.01E+11,542849800,2.61E+11,2.16E+12,53008566000,1.98E+12,0.770114943,0.002079884,
10,ID1000095003,2024,,,,593669600,,,48816721000,2.16E+12,,,
11,ID1000068703,2014,0,846890149,53823727820,4724885,-10465294746,78206858625,-541096663,,-5.143068507,-0.000451481,
11,ID1000068703,2015,0,291277559,69248156064,1831351,-38389342267,46460914226,-2325698817,78206858625,-1.803838044,-4.77E-05,-5.637361511
11,ID1000068703,2016,0,206554205,71557694885,10182310,-36598792928,39712845408,1708426587,46460914226,-1.955192758,-0.000278214,-6.180119788
11,ID1000068703,2017,0,731810190,27068908274,17390140,-5953949090,48951548666,-2079123942,39712845408,-4.54637886,-0.002920774,-14.24368339
11,ID1000068703,2018,0,1394589324,29362899758,11065330,-2840048130,54540919948,-342817194,48951548666,-10.338874,-0.003896177,-32.48527416
11,ID1000068703,2019,0,797107125,24327006502,5172668,-2691691584,49167960296,-369622858,54540919948,-9.037813487,-0.001921716,-28.38266837
11,ID1000068703,2020,0,946391404,24129025238,3411435,-8410294101,45650234297,-1277822372,49167960296,-2.868987095,-0.000405626,-9.005135675
11,ID1000068703,2021,0,3253896511,26697676719,5273505,-6847007680,57782225277,-1212875250,45650234297,-3.89917435,-0.000770191,-12.30683593
11,ID1000068703,2022,0,1158893972,9009136092,61203780,24585091343,67659502752,2003837746,57782225277,0.366447127,0.002489467,1.089859604
11,ID1000068703,2023,0,2920816301,7744023296,40473980,23777148716,62991306043,-11916064245,67659502752,0.325691839,0.001702222,1.142531079
11,ID1000068703,2024,,,,48271680,,,-51637988,62991306043,,,
12,ID1000096605,2014,2716304000,,22264098000,105695800,59071773000,4.16E+11,8261848000,,0.376899099,0.001789278,
12,ID1000096605,2015,2695654000,,37301448000,88895280,76414736000,5.07E+11,16381334000,4.16E+11,0.488144695,0.001163326,
12,ID1000096605,2016,2266885000,,53692680000,102926500,87157334000,6.02E+11,21411096000,5.07E+11,0.616043166,0.001180928,
12,ID1000096605,2017,3968562000,,62277293000,146774200,98592289000,7.08E+11,-397292000,6.02E+11,0.631664947,0.001488699,
12,ID1000096605,2018,4765767000,,90510747000,144004800,1.08E+11,8.07E+11,20964937000,7.08E+11,0.838062472,0.001333378,
12,ID1000096605,2019,3753780000,,74088196000,140312400,1.23E+11,8.44E+11,30809382000,8.07E+11,0.602343057,0.001140751,
12,ID1000096605,2020,3846119000,,60082675000,91572300,1.1E+11,8.87E+11,33961437000,8.44E+11,0.546206136,0.000832475,
12,ID1000096605,2021,820101000,,68696385000,128312000,1.24E+11,9.59E+11,-14667413000,8.87E+11,0.554003105,0.001034774,
12,ID1000096605,2022,2724629000,,77040198000,171236500,1.36E+11,1.02E+12,92958850000,9.59E+11,0.566472044,0.001259092,
12,ID1000096605,2023,7324821000,,72844230000,182406100,1.5E+11,1.08E+12,-6498694000,1.02E+12,0.4856282,0.001216041,
12,ID1000096605,2024,,,,185544800,,,31485690000,1.08E+12,,,
13,ID1000118201,2014,6350262000,,70225471000,260099200,97560417000,8E+11,32786596000,,0.719815199,0.002666032,
13,ID1000118201,2015,7273684000,,83570053000,261320200,1.13E+11,8.76E+11,30745088000,8E+11,0.739557991,0.002312568,
13,ID1000118201,2016,7621316000,,87012363000,304059400,1.46E+11,1E+12,39199392000,8.76E+11,0.595975089,0.002082599,
13,ID1000118201,2017,10483777000,,98511223000,395643600,1.67E+11,1.12E+12,49465405000,1E+12,0.589887563,0.002369123,
13,ID1000118201,2018,13048441000,,1.41E+11,411518200,1.83E+11,1.29E+12,46438086000,1.12E+12,0.770491803,0.002248733,
13,ID1000118201,2019,16175565000,,1.64E+11,488449000,2.06E+11,1.41E+12,39622816000,1.29E+12,0.796116505,0.002371112,
13,ID1000118201,2020,20623565000,,1.7E+11,434719700,1.97E+11,1.5E+12,33285172000,1.41E+12,0.862944162,0.002206699,
13,ID1000118201,2021,12125589000,,1.67E+11,636183800,2.89E+11,1.66E+12,77115580000,1.5E+12,0.577854671,0.002201328,
13,ID1000118201,2022,26406603000,,1.63E+11,703703300,2.99E+11,1.85E+12,79048836000,1.66E+12,0.545150502,0.002353523,
13,ID1000118201,2023,43494766000,,1.8E+11,787727600,3.11E+11,1.95E+12,61813942000,1.85E+12,0.578778135,0.002532886,
13,ID1000118201,2024,,,,682697200,,,1.11E+11,1.95E+12,,,
14,ID1000110802,2014,0,2966813508,4222326312,28292660,15381774606,28134725397,1121615473,,0.274501897,0.001839363,
14,ID1000110802,2015,0,6109239577,7924891043,32815620,18849521006,36022148490,-215859753,28134725397,0.420429306,0.001740926,1.042365828
14,ID1000110802,2016,0,3568915923,7654389082,39840660,20580647616,38292205984,-1891444691,36022148490,0.371921682,0.001935831,1.09033843
14,ID1000110802,2017,0,5793029077,9084851796,33874190,25341472822,45951188475,2713275225,38292205984,0.358497387,0.00133671,0.855763235
14,ID1000110802,2018,0,8139323594,13958295910,23384720,26109732973,52101492205,3409065464,45951188475,0.534601251,0.000895632,1.371103919
14,ID1000110802,2019,0,6860252636,13407137119,27137840,29149454031,54444849052,2656587921,52101492205,0.459944708,0.00093099,1.219791929
14,ID1000110802,2020,0,10916966640,17121058002,20853790,30119334419,60862926587,897150269,54444849052,0.568440782,0.000692372,1.504344247
14,ID1000110802,2021,0,7766937332,11994621136,23288500,31455607640,61469712166,3450290530,60862926587,0.381319009,0.000740361,0.972555098
14,ID1000110802,2022,0,9734419240,11977918798,19689360,33637320347,64999403481,2757365313,61469712166,0.35609016,0.000585343,0.864740633
14,ID1000110802,2023,0,9425764084,11833062926,21912350,36470759666,66827648486,914290566,64999403481,0.324453426,0.00060082,0.813842858
14,ID1000110802,2024,,,,22759220,,,1732053608,66827648486,,,
15,ID1000113707,2014,468648000,,20514969000,11507970,12206406000,1.45E+11,2169195000,,1.680672345,0.000942781,
15,ID1000113707,2015,223119000,,24075219000,11995520,13860107000,1.72E+11,3721946000,1.45E+11,1.737015378,0.000865471,
15,ID1000113707,2016,370181000,,27956379000,19657660,19130536000,2.14E+11,2618577000,1.72E+11,1.461348443,0.001027554,
15,ID1000113707,2017,523781000,,38301262000,30403870,21663434000,2.61E+11,3796931000,2.14E+11,1.768014342,0.001403465,
15,ID1000113707,2018,605493000,,43071351000,24952140,23840448000,3.06E+11,4359833000,2.61E+11,1.806650236,0.00104663,
15,ID1000113707,2019,561585000,,53693116000,19343150,23836195000,3.11E+11,3258051000,3.06E+11,2.252587546,0.000811503,
15,ID1000113707,2020,20927000,,49841916000,16093080,19987845000,3.59E+11,1300151000,3.11E+11,2.493611292,0.000805143,
15,ID1000113707,2021,0,,43259750000,18452000,21406647000,3.69E+11,4926997000,3.59E+11,2.020855952,0.000861975,
15,ID1000113707,2022,237624000,,42935525000,16093080,25909354000,3.99E+11,4249597000,3.69E+11,1.657143787,0.00062113,
15,ID1000113707,2023,609015000,,51425032000,16811860,30479152000,4.36E+11,6554349000,3.99E+11,1.687219907,0.000551586,
15,ID1000113707,2024,,,,18618080,,,-248831000,4.36E+11,,,
16,ID1000105604,2014,347863000,1485421000,7172107000,25407140,11271714000,25207973000,1268273000,,0.636292493,0.002254062,
16,ID1000105604,2015,351280000,631409000,8145604000,12707760,10651333000,26031226000,1843516000,25207973000,0.764749727,0.001193068,1.742304029
16,ID1000105604,2016,69399000,816140000,8240176000,11074920,9234399000,24093335000,3798875000,26031226000,0.892334845,0.001199311,2.50824844
16,ID1000105604,2017,69382000,767389000,10655684000,8235199,9246259000,27468519000,4101834000,24093335000,1.152431919,0.000890652,3.291117805
16,ID1000105604,2018,69874000,1023031000,11973128000,4600352,9497785000,28547998000,4556123000,27468519000,1.260623187,0.000484361,3.641228358
16,ID1000105604,2019,0,919126000,10016983000,6256480,11068151000,29619787000,4580404000,28547998000,0.905027678,0.000565269,2.63793775
16,ID1000105604,2020,0,1037930000,9369725000,3913823,12235672000,31613481000,3816126000,29619787000,0.765771181,0.00031987,2.228671598
16,ID1000105604,2021,0,1503656000,8291845000,4577183,14027061000,34161678000,4822278000,31613481000,0.591132027,0.000326311,1.640265699
16,ID1000105604,2022,0,1448686000,7701048000,5008366,14935751000,35216866000,3656840000,34161678000,0.515611702,0.000335327,1.455575962
16,ID1000105604,2023,0,2068284000,6601846000,4378175,15581198000,34504527000,1929475000,35216866000,0.423705931,0.000280991,1.197964626
16,ID1000105604,2024,,,,3482639,,,1440751000,34504527000,,,
17,ID1000116700,2014,1107882000,1168863000,3405937000,64140480,14077708000,24560044000,2854104000,,0.241938318,0.004556173,
17,ID1000116700,2015,1294472000,2096186000,2869045000,75802380,15454863000,25972985000,2866803000,24560044000,0.185640274,0.004904759,-1.734258482
17,ID1000116700,2016,1492724000,1682658000,2044905000,108164200,17563958000,28238829000,4638647000,25972985000,0.116426206,0.006158304,-2.175021943
17,ID1000116700,2017,1795934000,1468497000,2357041000,100000800,19563668000,31006614000,5751763000,28238829000,0.120480525,0.005111557,-2.413737688
17,ID1000116700,2018,2565620000,2573453000,2060546000,101750100,21618923000,33804383000,5088075000,31006614000,0.095312149,0.00470653,-3.252866616
17,ID1000116700,2019,1597681000,2354310000,2348894000,125948600,25300838000,38176126000,6215870000,33804383000,0.092838585,0.004978041,-1.856392163
17,ID1000116700,2020,2507310000,9528520000,31724366000,115161300,29430291000,1.03E+11,8129402000,38176126000,1.07794945,0.003913019,0.239882333
17,ID1000116700,2021,2507310000,20377977000,41752460000,102624800,33881903000,1.18E+11,8945394000,1.03E+11,1.23229383,0.003028897,2.55693937
17,ID1000116700,2022,2507310000,15125335000,46006051000,113703600,36518511000,1.15E+11,7842916000,1.18E+11,1.259800845,0.003113588,2.877996241
17,ID1000116700,2023,2192439000,16829481000,43990332000,122158500,40750169000,1.19E+11,10036572000,1.15E+11,1.079512873,0.002997742,2.353862662
17,ID1000116700,2024,,,,140817500,,,12718096000,1.19E+11,,,
18,ID1000106800,2014,2416611132,4939646362,3913023637,90752240,24042037753,34275122166,7371265925,,0.16275757,0.003774732,
18,ID1000106800,2015,2226339939,3989487892,4001300645,63318960,26419541790,38062851009,6395900442,34275122166,0.15145231,0.002396671,-2.438637235
18,ID1000106800,2016,1808588162,2848428931,6260375190,55163120,29035195760,43474403659,6833338168,38062851009,0.215613328,0.001899871,-1.48437946
18,ID1000106800,2017,1808638483,3666493265,10019293649,61242930,28914994825,48298784805,3190826524,43474403659,0.346508575,0.002118034,-0.745190396
18,ID1000106800,2018,805678362,5277062948,9864116103,57684020,31192084982,50649332728,3736819755,48298784805,0.316237793,0.001849316,0.110788355
18,ID1000106800,2019,1231646000,3950448000,30041947000,75923460,32276815000,79148805000,3823730280,50649332728,0.930759339,0.00235226,1.78022719
18,ID1000106800,2020,239215000,2930598000,25735644000,61391220,34173409000,77454265000,8979179677,79148805000,0.753089749,0.001796462,2.082293939
18,ID1000106800,2021,1116928000,2470289000,18630087000,58722030,36154557000,76030719000,6387106000,77454265000,0.515290147,0.001624194,0.921788432
18,ID1000106800,2022,1024054000,6007333000,16801363000,48935020,42748214000,82781906000,5904294000,76030719000,0.393030759,0.001144727,0.518452569
18,ID1000106800,2023,1655385000,6939841000,15817928000,43716370,43261491000,81660232000,6299301000,82781906000,0.365635294,0.001010515,0.168888867
18,ID1000106800,2024,,,,24806500,,,4596404000,81660232000,,,
19,ID1000068604,2014,1539270000,1201117000,18147298000,117946600,33093347000,58154867000,4579847000,,0.548366957,0.003564058,
19,ID1000068604,2015,1539270000,2379324000,20561189000,92548660,37900082000,63417203000,8382147000,58154867000,0.542510409,0.002441912,0.456249712
19,ID1000068604,2016,5002629000,944528000,19753245000,127903800,39487017000,62823127000,6906208000,63417203000,0.500246575,0.003239136,-1.68433422
19,ID1000068604,2017,5002629000,1591080000,20600000000,147770000,42171080000,66640812000,9466694000,62823127000,0.488486422,0.00350406,-1.806331731
19,ID1000068604,2018,5015990000,1456855000,17322145000,153061300,45133233000,68979467000,10448285000,66640812000,0.383800225,0.003391321,-1.963651853
19,ID1000068604,2019,5002629000,2522090000,17413106000,101447600,50930703000,78503764000,11298699000,68979467000,0.34189801,0.001991875,-2.013108825
19,ID1000068604,2020,0,3424263000,6185893000,80426900,58522408000,78049504000,14891313000,78503764000,0.105701273,0.001374292,0.084757574
19,ID1000068604,2021,5002629000,4169740000,10103003000,63543020,59288208000,89840947000,8929024000,78049504000,0.170404931,0.001071765,-2.19030042
19,ID1000068604,2022,4329198000,4407033000,10136469000,43628700,57855897000,88443756000,8063293000,89840947000,0.175202002,0.000754093,-1.514313963
19,ID1000068604,2023,2308906000,4256264000,13395817000,41945140,60862772000,92268585000,2844844000,88443756000,0.2200987,0.000689176,-0.439214685
19,ID1000068604,2024,,,,25397970,,,6528431000,92268585000,,,
20,ID1000097405,2014,0,3485667000,27198427000,19154610,13509422000,53169660000,6342550000,,2.013293167,0.00141787,
20,ID1000097405,2015,0,3700920000,27643086000,23610420,12482835000,55274291000,8468262000,53169660000,2.214487815,0.001891431,6.700693591
20,ID1000097405,2016,0,1959018000,23674739000,34641310,13350203000,50622733000,9559617000,55274291000,1.773361723,0.002594815,5.34741627
20,ID1000097405,2017,386788000,1778043000,22635752000,30701710,13996976000,50292435000,9263126000,50622733000,1.617188741,0.002193453,4.544581372
20,ID1000097405,2018,396677000,1142137000,24945511000,12606710,11174104000,51890569000,4618480000,50292435000,2.232439487,0.001128208,6.573426013
20,ID1000097405,2019,0,5897638000,30108428000,18149330,12723270000,61517545000,6546235000,51890569000,2.366406435,0.001426467,7.152689845
