No,ISIN CODE,Year,CASH DIVIDENDS PAID - TOTAL,CASH,TOTAL DEBT,MARKET VALUE,TOTAL SHAREHOLDERS EQUITY,TOTAL ASSETS,FREE CASH FLOW,A_prev,LEV,Q,kz
1,ID1000066004,2014,943165000,611181000,4426933000,36101020,11419406000,18354372000,3389825000,,0.387667537,0.003161375,
1,ID1000066004,2015,743196000,294441000,7732824000,31534260,11284816000,21207642000,2101142000,18354372000,0.685241478,0.002794397,0.410961284
1,ID1000066004,2016,190527000,317149000,4101024000,28870320,17135284000,23204507000,1176794000,21207642000,0.239332129,0.001684846,0.32037191
1,ID1000066004,2017,996896000,252292000,3969334000,27956100,18065943000,23941380000,2722603000,23204507000,0.219713635,0.001547448,-1.144644187
1,ID1000066004,2018,835247000,49082000,4731303000,21748980,18989629000,26018027000,2145237000,23941380000,0.249151945,0.001145308,-0.692924385
1,ID1000066004,2019,431091000,260446000,5685466000,23673660,18521153000,26149093000,946683000,26018027000,0.306971494,0.001278196,0.257563941
1,ID1000066004,2020,175130000,107246000,5623933000,20979090,18752493000,27058211000,2654756000,26149093000,0.299903218,0.001118736,0.56912256
1,ID1000066004,2021,490745000,131675000,5696405000,20930980,20619192000,29773473000,3482590000,27058211000,0.27626713,0.001015121,0.013225707
1,ID1000066004,2022,854474000,1619616000,4053767000,16696670,21684037000,28698067000,2109296000,29773473000,0.186947062,0.000769998,-0.693052821
1,ID1000066004,2023,771721000,2089508000,4005052000,13520940,22016045000,28365210000,2034803000,28698067000,0.181915144,0.00061414,-0.661492659
1,ID1000066004,2024,,,,12799180,,,3992832000,28365210000,,,
2,ID1000125503,2014,102242958,391452438,26709233,13462720,2356959802,2888198978,237162591,,0.01133207,0.005711901,
2,ID1000125503,2015,272647888,621846415,23052961,11576230,2628045330,3192880895,330120199,2888198978,0.008771904,0.004404882,-4.110727342
2,ID1000125503,2016,262862463,703935050,5339715,14920470,3053621910,3637730285,744298418,3192880895,0.00174865,0.004886155,-3.779929003
