Variable,Model 1,Model 2,Model 3
Family,0.0024,-0.0056,0.0107***
,(0.65),(-1.20),(2.65)
G,-0.0034***,-0.0028***,-0.0040***
,(-42.59),(-28.17),(-46.66)
Size,-0.0196***,-0.0152***,-0.0239***
,(-10.67),(-6.67),(-12.11)
Lev,0.0004,0.0000,0.0007
,(0.62),(0.01),(1.15)
ROA,0.0311,0.0474,0.0149
,(1.09),(1.33),(0.48)
MTB,-0.0759**,-0.0377,-0.1152***
,(-1.97),(-0.79),(-2.78)
KZ,0.0004,-0.0009,0.0016**
,(0.63),(-1.22),(2.53)
Board Size,-0.0078***,-0.0074***,-0.0083***
,(-16.08),(-12.16),(-15.88)
CEO Duality,-0.0023,-0.0019,-0.0022
,(-0.46),(-0.31),(-0.42)
CSR Committee,-0.0922***,-0.0760***,-0.1082***
,(-18.93),(-12.56),(-20.66)
Year,Y,Y,Y
Industry,Y,Y,Y
_cons,0.2773***,0.2829***,0.2706***
,(10.81),(8.87),(9.81)
adj. R-sq,0.427,0.310,0.447
