Variable,Model 1,Model 2,Model 3
Gov,0.0149**,0.0153**,0.0143**
,(2.56),(2.11),(2.28)
G,-0.0034***,-0.0028***,-0.0040***
,(-42.73),(-28.20),(-46.86)
Size,-0.0190***,-0.0144***,-0.0236***
,(-10.29),(-6.27),(-11.87)
Lev,0.0003,-0.0001,0.0007
,(0.54),(-0.07),(1.10)
ROA,0.0325,0.0453,0.0199
,(1.14),(1.28),(0.65)
MTB,-0.0732*,-0.0325,-0.1153***
,(-1.90),(-0.68),(-2.78)
KZ,0.0004,-0.0009,0.0016***
,(0.66),(-1.25),(2.62)
Board Size,-0.0079***,-0.0073***,-0.0084***
,(-16.21),(-12.12),(-16.17)
CEO Duality,-0.0011,-0.0017,-0.0001
,(-0.23),(-0.29),(-0.02)
CSR Committee,-0.0928***,-0.0760***,-0.1094***
,(-19.08),(-12.58),(-20.91)
Year,Y,Y,Y
Industry,Y,Y,Y
_cons,0.2750***,0.2724***,0.2768***
,(10.82),(8.62),(10.12)
adj. R-sq,0.427,0.310,0.447
