Outcome,Specification,Family_PSM
GAP,基準模型（中位數切點）,-0.0013 (t=-0.31)
GAP,改進模型1（75百分位切點）,0.0011 (t=0.24)
GAP,改進模型2（Caliper匹配）,-0.0030 (t=-0.66)
GAP,改進模型3（1:2匹配）,-0.0057 (t=-1.46)
GAP_E,基準模型（中位數切點）,-0.0122** (t=-2.32)
GAP_E,改進模型1（75百分位切點）,-0.0074 (t=-1.35)
GAP_E,改進模型2（Caliper匹配）,-0.0125** (t=-2.21)
GAP_E,改進模型3（1:2匹配）,-0.0224*** (t=-4.52)
GAP_S,基準模型（中位數切點）,0.0097** (t=2.22)
GAP_S,改進模型1（75百分位切點）,0.0098** (t=2.12)
GAP_S,改進模型2（Caliper匹配）,0.0068 (t=1.44)
GAP_S,改進模型3（1:2匹配）,0.0112*** (t=2.74)
