Variables,Mean,SD,Min,Median,Max
GAP,-0.173,0.201,-0.818,-0.197,0.730
Family,0.421,0.494,0.000,0.000,1.000
Gov,0.136,0.343,0.000,0.000,1.000
G,49.224,23.632,0.000,50.530,98.700
Size,8.644,1.057,5.358,8.640,11.647
Lev,0.866,2.442,-44.361,0.476,117.135
ROA,0.051,0.067,-0.444,0.041,1.210
MTB,0.022,0.065,-0.262,0.013,3.221
KZ,-157.452,5154.589,-334819.051,-2.215,386.192
Legal,0.752,0.432,0.000,1.000,1.000
