no,year,icbcode,gap,gap_e,gap_s,es,e,s,esdis,edis,sdis,family,gov,instit,g,size,lev,roa,mtb,country,capitalism,legal,kz
1,2014,4510,-0.16,-0.17,-0.16,27.33,25.03,29.62,10.91,7.792207792,14.02660218,1,0,0,13.74,10.26,0.3741,0.1494,0.0335,2,1,1,
1,2015,4510,-0.17,-0.16,-0.19,30.70,28.77,32.63,13.27,12.89640592,13.63361548,1,0,0,11.67,10.33,0.6610,0.0309,0.0221,2,1,1,0.41096
1,2016,4510,-0.25,-0.19,-0.30,39.15,32.26,46.03,14.44,12.89640592,15.99153567,1,0,0,13,10.37,0.2331,0.0878,0.0188,2,1,1,0.32037
1,2017,4510,-0.24,-0.19,-0.30,39.85,34.13,45.56,15.43,14.85955905,15.99153567,1,0,0,10.61,10.38,0.2121,0.0798,0.0139,2,1,1,-1.14464
1,2018,4510,-0.23,-0.15,-0.31,38.35,29.67,47.02,15.43,14.85955905,15.99153567,1,0,0,10.64,10.42,0.2492,0.0635,0.0139,2,1,1,-0.69292
1,2019,4510,-0.21,-0.08,-0.33,46.15,42.44,49.85,25.24,34.09845968,16.38452237,1,0,0,11.9,10.42,0.3070,0.0129,0.0128,2,1,1,0.25756
1,2020,4510,-0.14,-0.03,-0.24,44.23,42.49,45.96,30.38,39.23286016,21.5235792,1,0,0,15.09,10.43,0.2999,0.0403,0.0066,2,1,1,0.56912
1,2021,4510,-0.18,-0.13,-0.22,50.27,53.88,46.65,32.48,40.65237088,24.30471584,1,0,0,26.3,10.47,0.2763,0.0787,0.0095,2,1,1,0.01323
1,2022,4510,-0.10,-0.03,-0.17,50.96,54.89,47.02,40.67,51.58562368,29.74607013,1,0,0,19.57,10.46,0.1869,0.0678,0.0113,2,1,1,-0.69305
1,2023,4510,-0.08,-0.03,-0.13,51.76,57.07,46.44,43.78,53.63938387,33.91777509,1,0,0,28.94,10.45,0.1819,0.0435,0.0072,2,1,1,-0.66149
2,2014,4040,0.00,0.00,0.00,0.00,0,0,0.00,0,0,1,0,0,0,9.46,,,,2,1,1,
2,2015,4040,0.05,0.00,0.10,0.00,0,0,4.90,0,9.794437727,1,0,0,0,9.50,,,,2,1,1,-4.11073
2,2016,4040,0.05,0.00,0.10,0.00,0,0,4.90,0,9.794437727,1,0,0,0,9.56,,,,2,1,1,-3.77993
2,2017,4040,0.05,0.00,0.11,0.00,0,0,5.41,0,10.82224909,1,0,0,0,9.63,,,,2,1,1,-3.57426
2,2018,4040,0.05,0.00,0.11,0.00,0,0,5.41,0,10.82224909,1,0,0,0,9.72,0.0324,0.2029,0.0563,2,1,1,-3.79214
2,2019,4040,-0.11,-0.18,-0.04,19.23,20.89,17.56,8.30,2.959830867,13.63361548,1,0,0,19.97,9.76,0.0034,0.1879,0.0659,2,1,1,-4.15617
2,2020,4040,-0.22,-0.34,-0.10,38.13,45.14,31.12,15.87,10.96345515,20.76783555,1,0,0,21.1,9.85,0.1696,0.1177,0.0391,2,1,1,-2.40245
2,2021,4040,-0.17,-0.28,-0.06,33.14,39.04,27.24,15.87,10.96345515,20.76783555,1,0,0,21.64,9.85,0.1599,0.1083,0.0470,2,1,1,-3.16342
2,2022,4040,-0.08,-0.11,-0.05,24.16,22.01,26.3,16.38,10.96345515,21.79564692,1,0,0,17.31,9.86,0.1282,0.1001,0.0310,2,1,1,-2.12811
2,2023,4040,0.26,0.30,0.23,0.00,0,0,26.47,30.11174872,22.82345828,1,0,0,0,9.89,0.1543,0.1102,0.0124,2,1,1,-3.08391
3,2014,6010,-0.19,-0.14,-0.24,22.92,16.25,29.59,3.96,2.446390818,5.471584039,1,0,0,30.19,10.90,0.5769,0.0271,0.0097,2,1,1,
3,2015,6010,-0.33,-0.43,-0.22,37.98,45.55,30.41,5.41,2.50679553,8.313180169,1,0,0,47.09,10.91,0.4674,0.0246,0.0041,2,1,1,0.98585
3,2016,6010,-0.14,-0.24,-0.04,24.46,26.62,22.29,10.28,2.50679553,18.0471584,1,0,0,45.73,10.94,0.3788,0.0536,0.0127,2,1,1,0.62798
3,2017,6010,-0.17,-0.31,-0.04,26.87,33.29,20.44,9.37,2.50679553,16.23337364,1,0,0,34.13,10.97,0.3366,0.0725,0.0126,2,1,1,0.25960
3,2018,6010,-0.20,-0.28,-0.13,40.60,49.82,31.37,20.18,21.9269103,18.4401451,1,0,0,32.21,11.01,0.3921,0.0671,0.0130,2,1,1,-0.62474
3,2019,6010,-0.21,-0.10,-0.31,58.37,60.8,55.94,37.61,50.58894594,24.63724305,1,0,0,34.53,11.00,0.5245,0.0624,0.0080,2,1,1,0.12522
3,2020,6010,-0.16,-0.09,-0.24,59.24,63.51,54.96,43.13,54.87768046,31.37847642,1,0,0,69.38,10.95,0.4063,0.0323,0.0064,2,1,1,-0.48323
3,2021,6010,-0.18,-0.17,-0.19,64.46,75.52,53.4,46.66,58.80398671,34.52237001,1,0,0,68.67,11.03,0.3885,0.1448,0.0064,2,1,1,-0.25276
3,2022,6010,-0.25,-0.20,-0.29,70.07,79.27,60.86,45.48,58.80398671,32.16444982,1,0,0,44.57,11.22,0.2627,0.2777,0.0104,2,1,1,-4.02222
3,2023,6010,-0.22,-0.18,-0.26,67.75,73.94,61.55,45.71,55.66294171,35.7617896,1,0,0,41.69,11.20,0.2125,0.1608,0.0090,2,1,1,-3.50350
4,2014,6010,0.07,0.02,0.11,0.00,0,0,6.53,2.083962549,10.97339782,1,0,0,0,10.17,,,,2,1,1,
4,2015,6010,-0.11,-0.08,-0.15,25.75,23.61,27.89,14.49,15.94684385,13.02902056,1,0,0,19.87,10.18,0.5331,0.0689,0.0465,2,1,1,0.31877
4,2016,6010,-0.01,-0.05,0.02,21.94,20.51,23.37,20.58,15.94684385,25.21160822,1,0,0,26.54,10.19,0.5001,0.0651,0.0351,2,1,1,0.83393
4,2017,6010,-0.08,-0.04,-0.12,32.80,24.93,40.67,25.07,21.11144669,29.02055623,1,0,0,52.41,10.22,0.3514,0.0736,0.0337,2,1,1,-0.43888
4,2018,6010,-0.11,-0.07,-0.15,37.91,31.09,44.73,27.14,24.49411054,29.77629988,1,0,0,49.2,10.29,0.5053,0.0944,0.0279,2,1,1,-0.68829
4,2019,6010,-0.11,0.03,-0.24,46.72,36.69,56.75,36.05,39.74630021,32.3458283,1,0,0,63.52,10.33,0.5530,0.0393,0.0235,2,1,1,0.21009
4,2020,6010,-0.13,0.00,-0.26,48.95,39.63,58.26,35.93,39.74630021,32.10399033,1,0,0,70.31,10.27,0.4703,0.0497,0.0089,2,1,1,0.54364
4,2021,6010,-0.02,0.06,-0.10,41.27,38.91,43.63,39.28,44.60887949,33.94800484,1,0,0,84.61,10.37,0.3272,0.0555,0.0136,2,1,1,-0.37651
4,2022,6010,-0.11,-0.02,-0.20,51.72,52.5,50.93,40.86,50.34732709,31.37847642,1,0,0,80.41,10.43,0.2750,0.0975,0.0166,2,1,1,-0.97864
4,2023,6010,-0.14,-0.06,-0.23,52.68,50.12,55.24,38.19,44.60887949,31.77146312,1,0,0,68.41,10.48,0.4110,0.0995,0.0280,2,1,1,-2.75424
5,2014,4010,-0.13,-0.06,-0.19,34.21,32.15,36.27,21.71,26.18544246,17.23095526,1,0,0,50.5,11.37,0.5830,0.0853,0.0315,2,1,1,
5,2015,4010,0.05,0.21,-0.11,29.55,26.71,32.38,35.03,48.20295983,21.85610641,1,0,0,50.92,11.38,0.5583,0.0601,0.0238,2,1,1,0.48933
