no,year,icbcode,gap,gap_e,gap_s,es,e,s,esdis,edis,sdis,family,gov,instit,g,size,lev,roa,mtb,country,capitalism,legal,kz
5,2016,4010,0.11,0.23,0.00,26.27,27.42,25.12,37.67,49.92449411,25.42321644,1,0,0,47.31,11.41,0.5068,0.0598,0.0299,2,1,1,0.68610
5,2017,4010,0.00,0.15,-0.14,37.28,34.96,39.59,37.67,49.92449411,25.42321644,1,0,0,40.82,11.46,0.4791,0.0676,0.0271,2,1,1,0.66974
5,2018,4010,-0.09,0.09,-0.27,45.48,41.39,49.56,36.39,49.92449411,22.85368803,1,0,0,40.21,11.53,0.6274,0.0763,0.0235,2,1,1,0.72539
5,2019,4010,-0.02,0.22,-0.27,40.44,34.37,46.51,38.23,56.75022652,19.70979444,1,0,0,41.9,11.54,0.6243,0.0731,0.0207,2,1,1,0.82251
5,2020,4010,-0.05,-0.01,-0.08,48.72,58.19,39.24,43.82,56.75022652,30.89480048,1,0,0,39.4,11.52,0.5106,0.0561,0.0106,2,1,1,0.55385
5,2021,4010,-0.22,-0.23,-0.21,63.37,68.2,58.54,41.41,44.97130776,37.84764208,1,0,0,46.05,11.56,0.4213,0.0633,0.0124,2,1,1,0.41796
5,2022,4010,-0.16,-0.19,-0.13,61.17,65.6,56.74,45.23,46.63243733,43.8331318,1,0,0,49.6,11.61,0.3681,0.0796,0.0144,2,1,1,-0.38570
5,2023,4010,0.44,0.47,0.41,0.00,0,0,43.93,46.63243733,41.23337364,1,0,0,0,11.64,0.4697,0.0859,0.0124,2,1,1,-1.27612
6,2014,5510,-0.36,-0.21,-0.52,70.96,61.94,79.98,34.56,41.40742978,27.72067715,0,1,0,36.26,10.33,0.6652,-0.0339,0.0084,2,1,1,
6,2015,5510,-0.38,-0.22,-0.54,77.42,69.81,85.03,39.10,47.62911507,30.56227328,0,1,0,63.28,10.47,0.5520,-0.0550,0.0041,2,1,1,1.37387
6,2016,5510,-0.42,-0.29,-0.55,78.08,67.65,88.5,36.02,38.90063425,33.13180169,0,1,0,53.31,10.47,0.5380,0.0021,0.0117,2,1,1,1.55536
6,2017,5510,-0.31,-0.18,-0.45,77.78,70.33,85.23,46.56,52.76351555,40.356711,0,1,0,43.54,10.47,0.5083,0.0046,0.0081,2,1,1,1.49937
6,2018,5510,-0.32,-0.31,-0.33,71.51,70.03,72.98,39.79,39.23286016,40.356711,0,1,0,43.47,10.52,0.5026,0.0416,0.0105,2,1,1,1.31977
6,2019,5510,-0.25,-0.23,-0.26,71.14,75.78,66.49,46.56,52.76351555,40.356711,0,1,0,72.78,10.48,0.4719,0.0121,0.0119,2,1,1,1.01082
6,2020,5510,-0.23,-0.20,-0.27,69.94,72.32,67.56,46.56,52.76351555,40.356711,0,1,0,81.86,10.50,0.4072,0.0460,0.0066,2,1,1,1.02074
6,2021,5510,-0.23,-0.17,-0.28,70.09,71.33,68.84,47.54,54.72666868,40.356711,0,1,0,71.44,10.52,0.2887,0.0627,0.0270,2,1,1,0.01538
6,2022,5510,-0.22,-0.14,-0.31,74.87,77.23,72.51,52.66,63.51555421,41.80773881,0,1,0,82.21,10.52,0.1330,0.1187,0.0267,2,1,1,-0.96700
6,2023,5510,-0.23,-0.12,-0.35,77.25,75.57,78.92,53.95,63.51555421,44.37726723,0,1,0,71.3,10.63,0.0864,0.0843,0.0165,2,1,1,-2.56003
7,2014,5010,,,,0.00,0,0,,.,.,1,0,0,0,10.46,,,,2,1,1,
7,2015,5010,0.06,0.00,0.11,0.00,0,0,5.52,0.422832981,10.61064087,1,0,0,0,10.49,,,,2,1,1,2.53583
7,2016,5010,0.06,0.00,0.11,0.00,0,0,5.52,0.422832981,10.61064087,1,0,0,0,10.54,,,,2,1,1,1.65280
7,2017,5010,0.09,0.06,0.12,0.00,0,0,8.78,5.527031108,12.03143894,1,0,0,0,10.69,,,,2,1,1,2.06515
7,2018,5010,0.01,0.02,0.00,10.83,9.42,12.24,11.87,11.71851404,12.03143894,1,0,0,23.26,11.01,2.2592,0.0344,0.0257,2,1,1,6.56479
7,2019,5010,-0.23,-0.12,-0.34,45.60,41.69,49.5,22.78,29.65871338,15.90084643,1,0,0,36.54,11.00,2.1570,0.0182,0.0426,2,1,1,6.41286
7,2020,5010,-0.29,-0.18,-0.39,52.45,48.03,56.87,23.78,29.65871338,17.89600967,1,0,0,48.03,11.03,2.1736,0.0217,0.0472,2,1,1,6.52494
7,2021,5010,-0.21,-0.17,-0.24,48.63,47.98,49.28,27.99,31.0782241,24.90931076,1,0,0,41.97,11.12,1.7718,0.0257,0.0370,2,1,1,4.67741
7,2022,5010,-0.18,-0.10,-0.26,51.16,51.07,51.24,32.80,40.68257324,24.90931076,1,0,0,37.81,11.16,2.5130,0.0045,0.0329,2,1,1,7.27142
7,2023,5010,0.33,0.41,0.25,0.00,0,0,32.80,40.68257324,24.90931076,1,0,0,0,11.19,2.5304,0.0164,0.0284,2,1,1,7.35337
8,2014,3010,-0.36,-0.25,-0.47,45.87,27.34,64.39,9.70,2.083962549,17.3216445,1,0,0,62.97,11.74,0.1235,0.0314,0.0429,2,1,1,
8,2015,3010,-0.30,-0.33,-0.27,50.94,34.88,66.99,21.27,2.083962549,40.44740024,1,0,0,59.69,11.77,0.0986,0.0314,0.0367,2,1,1,
8,2016,3010,-0.46,-0.59,-0.34,71.46,67.15,75.77,25.04,8.033826638,42.04957678,1,0,0,57.31,11.83,0.0912,0.0324,0.0340,2,1,1,
8,2017,3010,-0.44,-0.60,-0.29,71.75,67.98,75.52,27.51,8.033826638,46.97702539,1,0,0,83.04,11.87,0.0728,0.0327,0.0411,2,1,1,
8,2018,3010,-0.48,-0.65,-0.31,77.25,76.51,77.99,29.09,11.205074,46.97702539,1,0,0,77.11,11.91,0.0618,0.0338,0.0379,2,1,1,
8,2019,3010,-0.42,-0.55,-0.29,80.71,80.39,81.02,38.61,25.58139535,51.63240629,1,0,0,82.2,11.96,0.0633,0.0337,0.0389,2,1,1,
8,2020,3010,-0.49,-0.55,-0.42,87.44,80.99,93.88,38.61,25.58139535,51.63240629,1,0,0,89.05,12.03,0.0680,0.0278,0.0374,2,1,1,
8,2021,3010,-0.43,-0.48,-0.37,86.51,79.12,93.89,44.00,30.92721232,57.07376058,1,0,0,88.39,12.09,0.0595,0.0278,0.0377,2,1,1,
8,2022,3010,-0.43,-0.49,-0.38,86.53,79.51,93.55,43.09,30.92721232,55.25997582,1,0,0,84.82,12.12,0.0453,0.0327,0.0431,2,1,1,
8,2023,3010,-0.43,-0.49,-0.38,85.29,77.55,93.02,42.11,28.9640592,55.25997582,1,0,0,83.54,12.15,0.0547,0.0366,0.0449,2,1,1,
9,2014,3010,-0.13,-0.06,-0.21,37.92,29.73,46.1,24.64,23.85986107,25.42321644,0,1,0,82.34,11.29,0.9056,0.0137,0.0134,2,1,1,
9,2015,3010,-0.09,-0.11,-0.06,35.22,35.32,35.11,26.46,23.85986107,29.05078597,0,1,0,86.07,11.27,0.7198,0.0125,0.0090,2,1,1,
9,2016,3010,-0.18,-0.19,-0.18,36.44,35.57,37.31,17.98,16.79250982,19.16565901,0,1,0,75.72,11.24,0.6236,0.0147,0.0099,2,1,1,
9,2017,3010,-0.19,-0.34,-0.04,39.04,41.64,36.44,19.89,7.641196013,32.13422007,0,1,0,73.23,11.25,0.6283,0.0209,0.0172,2,1,1,
9,2018,3010,-0.15,-0.27,-0.03,34.76,34.23,35.28,19.89,7.641196013,32.13422007,0,1,0,70.35,11.26,0.6026,0.0299,0.0155,2,1,1,
9,2019,3010,-0.22,-0.28,-0.17,48.44,37.32,59.55,26.08,9.24192087,42.92623942,0,1,0,78.93,11.28,0.6310,0.0308,0.0217,2,1,1,
9,2020,3010,-0.11,-0.13,-0.10,45.39,35.71,55.06,34.13,22.77257626,45.49576784,0,1,0,90.38,11.30,0.4661,0.0107,0.0048,2,1,1,
9,2021,3010,-0.10,-0.09,-0.11,45.24,32.8,57.67,35.34,23.61824222,47.06771463,0,1,0,82.93,11.28,0.3039,0.0129,0.0061,2,1,1,
9,2022,3010,-0.06,-0.04,-0.08,43.70,34.17,53.22,37.70,29.90033223,45.49576784,0,1,0,72.6,11.29,0.2680,0.0211,0.0048,2,1,1,
9,2023,3010,0.38,0.30,0.45,0.00,0,0,37.70,29.90033223,45.49576784,0,1,0,0,11.34,0.3747,0.0211,0.0057,2,1,1,
10,2014,3010,-0.37,-0.25,-0.50,37.04,24.58,49.5,0.00,0,0,0,1,0,72.59,11.93,0.5138,0.0250,0.0245,2,1,1,
10,2015,3010,-0.32,-0.23,-0.40,42.93,28,57.86,11.29,4.651162791,17.92623942,0,1,0,62.77,11.96,0.4830,0.0230,0.0184,2,1,1,
10,2016,3010,-0.33,-0.27,-0.38,46.58,32.01,61.15,13.66,4.651162791,22.67230955,0,1,0,72.44,12.01,0.3792,0.0142,0.0180,2,1,1,
10,2017,3010,-0.35,-0.26,-0.44,52.43,33.13,71.73,17.26,6.704922984,27.81136638,0,1,0,58.39,12.05,0.3831,0.0191,0.0224,2,1,1,
10,2018,3010,-0.39,-0.29,-0.49,56.79,37.56,76.02,17.62,8.426457264,26.81378476,0,1,0,70.33,12.08,0.5769,0.0248,0.0207,2,1,1,
10,2019,3010,-0.52,-0.43,-0.60,75.80,61.08,90.52,24.16,18.0308064,30.29020556,0,1,0,65.16,12.12,0.5094,0.0257,0.0169,2,1,1,
10,2020,3010,-0.49,-0.42,-0.56,73.50,60.16,86.84,24.67,18.0308064,31.31801693,0,1,0,85.84,12.15,0.5295,0.0156,0.0115,2,1,1,
10,2021,3010,-0.50,-0.54,-0.45,79.21,72.52,85.9,29.44,18.0308064,40.84038694,0,1,0,90.36,12.23,0.5689,0.0196,0.0148,2,1,1,
10,2022,3010,-0.52,-0.63,-0.41,81.27,82.06,80.47,29.24,19.45031712,39.02660218,0,1,0,87.84,12.30,0.6500,0.0249,0.0156,2,1,1,
10,2023,3010,,,,0.00,0,0,,.,.,0,1,0,0,12.34,0.7713,0.0295,0.0182,2,1,1,
11,2014,6010,-0.43,-0.48,-0.39,49.61,49.24,49.97,6.41,1.600724857,11.21523579,1,0,0,61.82,10.89,0.0000,-0.0638,0.0000,2,1,1,
11,2015,6010,-0.37,-0.33,-0.40,47.36,34.95,59.77,10.50,1.600724857,19.40749698,1,0,0,27.02,10.67,0.0000,-0.4815,0.0000,2,1,1,-5.63736
11,2016,6010,-0.41,-0.33,-0.49,67.36,64.05,70.66,26.36,30.95741468,21.76541717,1,0,0,30.15,10.60,0.0000,0.0208,0.0000,2,1,1,-6.18012
11,2017,6010,-0.40,-0.22,-0.58,74.02,66.54,81.49,34.32,44.82029598,23.8210399,1,0,0,43.57,10.69,6.1174,0.1098,0.0000,2,1,1,-14.24368
11,2018,6010,-0.46,-0.35,-0.56,83.23,83.03,83.42,37.54,47.65931743,27.41837969,1,0,0,86.86,10.74,-10.3389,0.1033,-0.0651,2,1,1,-32.48527
11,2019,6010,-0.46,-0.34,-0.58,83.25,81.25,85.25,37.43,47.65931743,27.20677146,1,0,0,90.32,10.69,-9.0378,0.0419,-0.0272,2,1,1,-28.38267
11,2020,6010,-0.40,-0.30,-0.51,80.83,78.07,83.59,40.43,48.20295983,32.64812576,1,0,0,94.01,10.66,-2.8690,-0.0355,-0.0041,2,1,1,-9.00514
11,2021,6010,-0.38,-0.29,-0.46,84.78,78.88,90.67,47.21,49.62247055,44.80048368,1,0,0,89.35,10.76,-3.8992,0.1056,-0.0067,2,1,1,-12.30684
11,2022,6010,-0.30,-0.27,-0.33,82.83,78.81,86.85,52.85,51.91784959,53.77871826,1,0,0,87.27,10.83,0.3664,0.1632,0.0100,2,1,1,1.08986
11,2023,6010,0.56,0.59,0.54,0.00,0,0,56.23,58.68317729,53.77871826,1,0,0,0,10.80,0.3257,0.0078,0.0193,2,1,1,1.14253
12,2014,3010,-0.63,-0.71,-0.54,75.01,75.77,74.24,12.47,4.953186349,19.98186215,0,1,0,54.34,11.62,0.3776,0.0268,0.0193,2,1,1,
12,2015,3010,-0.55,-0.69,-0.41,74.51,75.93,73.09,19.28,6.674720628,31.8923821,0,1,0,57.47,11.71,0.4750,0.0196,0.0121,2,1,1,
12,2016,3010,-0.51,-0.60,-0.42,72.20,68.5,75.89,21.05,8.396254908,33.70616687,0,1,0,57.91,11.78,0.6015,0.0204,0.0118,2,1,1,
12,2017,3010,-0.59,-0.62,-0.55,76.70,69.87,83.52,18.13,7.52038659,28.74848851,0,1,0,50.95,11.85,0.6221,0.0208,0.0187,2,1,1,
12,2018,3010,-0.57,-0.60,-0.54,75.75,68.82,82.67,19.00,9.24192087,28.74848851,0,1,0,64.64,11.91,0.8375,0.0239,0.0148,2,1,1,
12,2019,3010,-0.50,-0.56,-0.43,77.97,70.99,84.95,28.08,14.64814256,41.50544135,0,1,0,57.6,11.93,0.6047,0.0225,0.0147,2,1,1,
12,2020,3010,-0.49,-0.55,-0.44,78.75,69.45,88.04,29.56,14.64814256,44.46795647,0,1,0,78.4,11.95,0.5453,0.0052,0.0067,2,1,1,
12,2021,3010,-0.41,-0.41,-0.40,79.50,71.57,87.43,38.80,30.14195107,47.46070133,0,1,0,77.85,11.98,0.5552,0.0128,0.0090,2,1,1,
12,2022,3010,-0.40,-0.40,-0.40,78.43,69.8,87.05,38.65,29.83992751,47.46070133,0,1,0,81.63,12.01,0.5672,0.0199,0.0115,2,1,1,
12,2023,3010,0.39,0.32,0.46,0.00,0,0,38.60,31.56146179,45.64691657,0,1,0,0,12.03,0.4852,0.0224,0.0116,2,1,1,
13,2014,3010,-0.54,-0.47,-0.60,53.52,47.39,59.64,0.00,0,0,0,1,0,63.36,11.90,0.5878,0.0339,0.0295,2,1,1,
13,2015,3010,-0.38,-0.50,-0.26,57.50,53.59,61.4,19.41,3.473270915,35.33857316,0,1,0,58.47,11.94,0.6064,0.0302,0.0248,2,1,1,
13,2016,3010,-0.45,-0.61,-0.29,68.14,64.21,72.07,23.05,3.473270915,42.62394196,0,1,0,70.9,12.00,0.4792,0.0278,0.0195,2,1,1,
13,2017,3010,-0.50,-0.73,-0.26,75.66,76.15,75.17,26.13,3.473270915,48.79081016,0,1,0,73.65,12.05,0.4716,0.0272,0.0266,2,1,1,
13,2018,3010,-0.52,-0.74,-0.29,82.12,86.57,77.67,30.59,12.38296587,48.79081016,0,1,0,89.52,12.11,0.7684,0.0315,0.0244,2,1,1,
13,2019,3010,-0.50,-0.74,-0.27,81.89,86.55,77.22,31.49,12.38296587,50.60459492,0,1,0,82.13,12.15,0.7935,0.0303,0.0255,2,1,1,
13,2020,3010,-0.45,-0.56,-0.34,84.99,85.52,84.45,40.10,29.59830867,50.60459492,0,1,0,54.8,12.18,0.8603,0.0162,0.0173,2,1,1,
13,2021,3010,-0.43,-0.54,-0.32,85.40,85.82,84.98,42.07,31.56146179,52.56952842,0,1,0,55.62,12.22,0.5784,0.0240,0.0223,2,1,1,
13,2022,3010,-0.40,-0.47,-0.32,84.92,85.1,84.73,45.18,37.78314709,52.56952842,0,1,0,79.68,12.27,0.5440,0.0338,0.0231,2,1,1,
13,2023,3010,-0.38,-0.47,-0.30,83.83,85.36,82.3,45.60,38.62881305,52.56952842,0,1,0,70.36,12.29,0.5783,0.0368,0.0236,2,1,1,
14,2014,3510,-0.25,-0.07,-0.43,24.85,7.03,42.66,0.00,0,0,1,0,0,46.16,10.45,0.2336,0.1504,0.0216,2,1,1,
14,2015,3510,-0.26,-0.17,-0.35,31.25,17.95,44.55,4.85,0.483237693,9.220072551,1,0,0,15.49,10.56,0.3586,0.0666,0.0184,2,1,1,1.04237
14,2016,3510,-0.20,-0.08,-0.32,25.98,8.82,43.13,5.64,0.483237693,10.79201935,1,0,0,12.81,10.58,0.3130,0.0482,0.0164,2,1,1,1.09034
14,2017,3510,-0.23,-0.05,-0.40,28.27,5.36,51.17,5.64,0.483237693,10.79201935,1,0,0,20.69,10.66,0.3109,0.1165,0.0129,2,1,1,0.85576
14,2018,3510,-0.21,-0.08,-0.34,27.59,8.87,46.3,6.54,0.483237693,12.60580411,1,0,0,30.47,10.72,0.5346,0.0419,0.0129,2,1,1,1.37110
14,2019,3510,-0.30,-0.29,-0.32,52.25,49.42,55.08,21.94,20.77922078,23.095526,1,0,0,39.76,10.74,0.4599,0.0702,0.0093,2,1,1,1.21979
14,2020,3510,-0.22,-0.18,-0.26,47.60,45.53,49.67,25.83,27.54454847,24.12333736,1,0,0,32.25,10.78,0.5684,0.0299,0.0059,2,1,1,1.50434
14,2021,3510,-0.23,-0.11,-0.36,59.39,54.81,63.96,36.01,43.73301117,28.29504232,1,0,0,31.34,10.79,0.3813,0.0450,0.0079,2,1,1,0.97256
14,2022,3510,-0.20,-0.08,-0.32,57.64,53.2,62.08,37.83,45.6961643,29.95767836,1,0,0,37.68,10.81,0.3561,0.0616,0.0058,2,1,1,0.86474
14,2023,3510,0.38,0.46,0.30,0.00,0,0,38.02,45.6961643,30.35066505,1,0,0,0,10.82,0.3245,0.0487,0.0059,2,1,1,0.81384
15,2014,3010,0.07,0.01,0.13,0.00,0,0,6.88,0.755058895,12.99879081,0,1,0,0,11.16,,,,2,1,1,
15,2015,3010,0.19,0.05,0.34,0.00,0,0,19.25,4.530353368,33.97823458,0,1,0,0,11.24,,,,2,1,1,
15,2016,3010,0.31,0.21,0.40,0.00,0,0,30.51,21.11144669,39.90326481,0,1,0,0,11.33,,,,2,1,1,
15,2017,3010,-0.39,-0.38,-0.40,70.62,61.14,80.09,31.49,23.07459982,39.90326481,0,1,0,66.14,11.42,1.8633,0.0127,0.0175,2,1,1,
15,2018,3010,-0.43,-0.38,-0.48,74.05,63.09,85.01,31.03,24.73572939,37.3337364,0,1,0,55.09,11.49,1.8067,0.0175,0.0163,2,1,1,
15,2019,3010,-0.39,-0.32,-0.47,75.18,65.16,85.19,35.93,33.52461492,38.33131802,0,1,0,47.88,11.49,2.2526,0.0063,0.0104,2,1,1,
15,2020,3010,-0.42,-0.31,-0.54,74.42,61.08,87.76,32.00,29.83992751,34.15961306,0,1,0,49.08,11.56,2.4936,0.0132,0.0049,2,1,1,
15,2021,3010,-0.38,-0.31,-0.44,69.64,61.06,78.22,32.00,29.83992751,34.15961306,0,1,0,70.96,11.57,2.0209,0.0140,0.0086,2,1,1,
15,2022,3010,-0.34,-0.25,-0.43,68.57,58.71,78.43,34.49,33.22259136,35.7617896,0,1,0,56.37,11.60,1.6571,0.0135,0.0069,2,1,1,
15,2023,3010,0.44,0.48,0.40,0.00,0,0,43.77,47.59891272,39.93349456,0,1,0,0,11.64,1.6872,0.0133,0.0057,2,1,1,
16,2014,4030,-0.05,0.00,-0.10,5.12,0,10.24,0.00,0,0,,,,13.52,10.40,,,,2,1,1,
16,2015,4030,-0.05,0.00,-0.10,5.01,0,10.01,0.00,0,0,,,,29.3,10.42,,,,2,1,1,1.74230
16,2016,4030,-0.04,0.00,-0.07,3.59,0,7.18,0.00,0,0,,,,52.91,10.38,,,,2,1,1,2.50825
16,2017,4030,-0.01,0.00,-0.02,3.76,0,7.52,2.99,0,5.985489722,,,,49.29,10.44,,,,2,1,1,3.29112
16,2018,4030,-0.01,0.00,-0.01,4.21,0,8.41,3.70,0,7.406287787,,,,53.57,10.46,1.2606,0.0491,0.0091,2,1,1,3.64123
16,2019,4030,0.04,0.08,0.00,5.11,0.48,9.73,9.26,8.547266687,9.975816203,,,,54.71,10.47,0.9050,0.0699,0.0048,2,1,1,2.63794
16,2020,4030,-0.07,0.08,-0.22,17.82,0.39,35.25,10.65,8.547266687,12.75695284,,,,52.42,10.50,0.7658,0.0499,0.0030,2,1,1,2.22867
16,2021,4030,-0.10,0.03,-0.23,23.27,5.89,40.65,13.51,8.970099668,18.0471584,,,,58.28,10.53,0.5911,0.0585,0.0031,2,1,1,1.64027
16,2022,4030,-0.08,0.02,-0.18,22.48,6.7,38.25,14.52,8.970099668,20.07255139,,,,61,10.55,0.5156,0.0469,0.0028,2,1,1,1.45558
16,2023,4030,-0.07,0.03,-0.18,21.79,5.65,37.93,14.52,8.970099668,20.07255139,,,,73.94,10.54,0.4237,0.0378,0.0029,2,1,1,1.19796
17,2014,4510,-0.11,-0.01,-0.21,14.49,0.96,28.02,3.63,0.422832981,6.831922612,1,0,0,23.16,10.39,0.2318,0.1143,0.0559,2,1,1,
