Variable,Model 1,Model 2,Model 3
Gov,0.0127**,0.0131*,0.0122*
,(2.15),(1.77),(1.92)
G,-0.0034***,-0.0028***,-0.0040***
,(-42.34),(-27.93),(-46.42)
Size,-0.0192***,-0.0143***,-0.0240***
,(-10.34),(-6.21),(-12.03)
Lev,0.0002,-0.0000,0.0004
,(0.33),(-0.03),(0.67)
ROA,0.0354,0.0477,0.0236
,(1.23),(1.34),(0.76)
MTB,-0.0546,-0.0353,-0.0761*
,(-1.33),(-0.69),(-1.72)
KZ,0.0005,-0.0008,0.0018***
,(0.95),(-1.06),(2.95)
Board Size,-0.0079***,-0.0073***,-0.0085***
,(-16.16),(-11.98),(-16.22)
CEO Duality,-0.0012,-0.0016,-0.0004
,(-0.25),(-0.26),(-0.08)
CSR Committee,-0.0937***,-0.0773***,-0.1099***
,(-19.16),(-12.71),(-20.88)
Year,Y,Y,Y
Industry,Y,Y,Y
_cons,0.2764***,0.2719***,0.2801***
,(10.84),(8.57),(10.21)
adj. R-sq,0.427,0.310,0.446
