No,ISIN CODE,Year,Board Size,CSR Sustainability Committee,Current CEO Chairman Duality,FREE FLOAT NOSH
1,ID1000066004,2014,6,Y   ,N   ,20
1,ID1000066004,2015,5,Y   ,N   ,20
1,ID1000066004,2016,5,Y   ,N   ,20
1,ID1000066004,2017,6,Y   ,N   ,20
1,ID1000066004,2018,5,Y   ,N   ,20
1,ID1000066004,2019,7,Y   ,N   ,20
1,ID1000066004,2020,7,Y   ,N   ,20
1,ID1000066004,2021,6,Y   ,N   ,20
1,ID1000066004,2022,4,Y   ,N   ,20
1,ID1000066004,2023,4,Y   ,N   ,20
1,ID1000066004,2024,,,,20
2,ID1000125503,2014,,,,40
2,ID1000125503,2015,,,,40
2,ID1000125503,2016,,,,34
2,ID1000125503,2017,,,,32
2,ID1000125503,2018,,,,28
2,ID1000125503,2019,4,N   ,N   ,40
2,ID1000125503,2020,3,N   ,N   ,40
2,ID1000125503,2021,4,N   ,N   ,40
2,ID1000125503,2022,6,N   ,N   ,40
2,ID1000125503,2023,5,Y   ,N   ,40
2,ID1000125503,2024,,,,40
3,ID1000111305,2014,7,N   ,N   ,50
3,ID1000111305,2015,7,N   ,N   ,50
3,ID1000111305,2016,7,N   ,N   ,50
3,ID1000111305,2017,6,N   ,N   ,50
3,ID1000111305,2018,5,N   ,N   ,50
3,ID1000111305,2019,5,Y   ,N   ,50
3,ID1000111305,2020,5,Y   ,N   ,50
3,ID1000111305,2021,5,Y   ,N   ,50
3,ID1000111305,2022,5,Y   ,N   ,50
3,ID1000111305,2023,5,Y   ,N   ,50
3,ID1000111305,2024,,,,50
4,ID1000106701,2014,,,,41
4,ID1000106701,2015,3,N   ,N   ,33
4,ID1000106701,2016,3,N   ,N   ,35
4,ID1000106701,2017,3,N   ,N   ,34
4,ID1000106701,2018,3,N   ,N   ,42
4,ID1000106701,2019,3,N   ,N   ,36
4,ID1000106701,2020,3,N   ,N   ,40
4,ID1000106701,2021,3,N   ,N   ,40
4,ID1000106701,2022,3,Y   ,N   ,40
4,ID1000106701,2023,3,Y   ,N   ,40
4,ID1000106701,2024,,,,39
5,ID1000122807,2014,14,N   ,N   ,44
5,ID1000122807,2015,11,N   ,N   ,42
5,ID1000122807,2016,12,N   ,N   ,42
5,ID1000122807,2017,12,N   ,N   ,43
5,ID1000122807,2018,10,N   ,N   ,50
5,ID1000122807,2019,10,Y   ,N   ,50
5,ID1000122807,2020,10,Y   ,N   ,50
5,ID1000122807,2021,10,Y   ,N   ,50
5,ID1000122807,2022,10,Y   ,N   ,50
5,ID1000122807,2023,10,Y   ,N   ,50
5,ID1000122807,2024,,,,50
6,ID1000106602,2014,6,Y   ,N   ,35
6,ID1000106602,2015,6,Y   ,N   ,35
6,ID1000106602,2016,6,Y   ,N   ,35
6,ID1000106602,2017,6,Y   ,N   ,35
6,ID1000106602,2018,5,Y   ,N   ,
