No,ISIN CODE,Year,Board Size,CSR Sustainability Committee,Current CEO Chairman Duality,FREE FLOAT NOSH
6,ID1000106602,2019,6,Y   ,N   ,
6,ID1000106602,2020,6,Y   ,N   ,35
6,ID1000106602,2021,5,Y   ,N   ,35
6,ID1000106602,2022,5,Y   ,N   ,35
6,ID1000106602,2023,5,Y   ,N   ,35
6,ID1000106602,2024,,,,35
7,ID1000085707,2014,,,,40
7,ID1000085707,2015,,,,40
7,ID1000085707,2016,,,,40
7,ID1000085707,2017,,,,95
7,ID1000085707,2018,3,N   ,N   ,44
7,ID1000085707,2019,4,Y   ,N   ,27
7,ID1000085707,2020,4,Y   ,N   ,28
7,ID1000085707,2021,4,Y   ,N   ,29
7,ID1000085707,2022,4,Y   ,N   ,29
7,ID1000085707,2023,4,Y   ,N   ,29
7,ID1000085707,2024,,,,29
8,ID1000109507,2014,5,N   ,N   ,52
8,ID1000109507,2015,5,N   ,N   ,52
8,ID1000109507,2016,5,N   ,N   ,52
8,ID1000109507,2017,5,N   ,N   ,52
8,ID1000109507,2018,5,N   ,N   ,45
8,ID1000109507,2019,5,Y   ,N   ,45
8,ID1000109507,2020,5,Y   ,N   ,45
8,ID1000109507,2021,5,Y   ,N   ,45
8,ID1000109507,2022,5,Y   ,N   ,45
8,ID1000109507,2023,5,Y   ,N   ,45
8,ID1000109507,2024,,,,45
9,ID1000094204,2014,7,N   ,N   ,25
9,ID1000094204,2015,8,N   ,N   ,25
9,ID1000094204,2016,8,N   ,N   ,25
9,ID1000094204,2017,7,N   ,N   ,25
9,ID1000094204,2018,8,N   ,N   ,20
9,ID1000094204,2019,8,Y   ,N   ,7
9,ID1000094204,2020,8,Y   ,N   ,5
9,ID1000094204,2021,11,Y   ,N   ,7
9,ID1000094204,2022,8,Y   ,N   ,7
9,ID1000094204,2023,6,Y   ,N   ,7
9,ID1000094204,2024,,,,7
10,ID1000095003,2014,8,N   ,N   ,39
10,ID1000095003,2015,8,N   ,N   ,39
10,ID1000095003,2016,8,Y   ,N   ,39
10,ID1000095003,2017,8,Y   ,N   ,39
10,ID1000095003,2018,8,Y   ,N   ,39
10,ID1000095003,2019,8,Y   ,N   ,39
10,ID1000095003,2020,10,Y   ,N   ,39
10,ID1000095003,2021,10,Y   ,N   ,39
10,ID1000095003,2022,10,Y   ,N   ,39
10,ID1000095003,2023,11,Y   ,N   ,39
10,ID1000095003,2024,,,,39
11,ID1000068703,2014,8,Y   ,N   ,71
11,ID1000068703,2015,4,Y   ,N   ,59
11,ID1000068703,2016,4,Y   ,N   ,64
11,ID1000068703,2017,9,Y   ,N   ,67
11,ID1000068703,2018,9,Y   ,N   ,55
11,ID1000068703,2019,9,Y   ,N   ,64
11,ID1000068703,2020,8,Y   ,N   ,78
11,ID1000068703,2021,8,Y   ,N   ,75
11,ID1000068703,2022,8,Y   ,N   ,82
11,ID1000068703,2023,8,Y   ,N   ,29
11,ID1000068703,2024,,,,29
12,ID1000096605,2014,8,N   ,N   ,39
12,ID1000096605,2015,9,N   ,N   ,39
12,ID1000096605,2016,8,N   ,N   ,39
12,ID1000096605,2017,9,N   ,N   ,39
12,ID1000096605,2018,10,N   ,N   ,39
12,ID1000096605,2019,9,N   ,N   ,39
12,ID1000096605,2020,10,Y   ,N   ,39
12,ID1000096605,2021,10,Y   ,N   ,39
12,ID1000096605,2022,10,Y   ,N   ,39
12,ID1000096605,2023,11,Y   ,N   ,41
12,ID1000096605,2024,11,Y   ,N   ,39
13,ID1000118201,2014,7,N   ,N   ,43
13,ID1000118201,2015,9,N   ,N   ,43
13,ID1000118201,2016,9,N   ,N   ,43
13,ID1000118201,2017,10,N   ,N   ,43
13,ID1000118201,2018,8,Y   ,N   ,43
13,ID1000118201,2019,9,Y   ,N   ,43
13,ID1000118201,2020,11,Y   ,N   ,43
13,ID1000118201,2021,11,Y   ,N   ,43
13,ID1000118201,2022,10,Y   ,N   ,46
13,ID1000118201,2023,10,Y   ,N   ,46
13,ID1000118201,2024,,,,46
14,ID1000110802,2014,8,N   ,N   ,47
14,ID1000110802,2015,5,N   ,N   ,47
14,ID1000110802,2016,5,N   ,N   ,48
14,ID1000110802,2017,5,N   ,N   ,48
14,ID1000110802,2018,5,N   ,N   ,48
14,ID1000110802,2019,5,N   ,N   ,48
14,ID1000110802,2020,5,N   ,N   ,48
14,ID1000110802,2021,5,Y   ,N   ,43
14,ID1000110802,2022,5,Y   ,N   ,41
14,ID1000110802,2023,5,Y   ,N   ,38
14,ID1000110802,2024,,,,35
15,ID1000113707,2014,,,,39
15,ID1000113707,2015,,,,39
15,ID1000113707,2016,,,,39
15,ID1000113707,2017,9,N   ,N   ,39
15,ID1000113707,2018,10,N   ,N   ,39
15,ID1000113707,2019,6,N   ,N   ,39
15,ID1000113707,2020,6,N   ,N   ,39
15,ID1000113707,2021,7,N   ,N   ,39
15,ID1000113707,2022,8,N   ,N   ,39
15,ID1000113707,2023,8,Y   ,N   ,39
15,ID1000113707,2024,,,,34
16,ID1000105604,2014,7,N   ,N   ,47
16,ID1000105604,2015,5,N   ,N   ,50
16,ID1000105604,2016,5,N   ,N   ,47
16,ID1000105604,2017,4,N   ,N   ,47
16,ID1000105604,2018,4,N   ,N   ,47
16,ID1000105604,2019,4,N   ,N   ,51
16,ID1000105604,2020,4,N   ,N   ,51
16,ID1000105604,2021,4,Y   ,N   ,55
16,ID1000105604,2022,4,Y   ,N   ,49
16,ID1000105604,2023,3,Y   ,N   ,48
16,ID1000105604,2024,,,,48
17,ID1000116700,2014,7,N   ,N   ,19
17,ID1000116700,2015,6,N   ,N   ,19
17,ID1000116700,2016,6,N   ,N   ,19
17,ID1000116700,2017,6,N   ,N   ,19
17,ID1000116700,2018,6,N   ,N   ,19
17,ID1000116700,2019,6,N   ,N   ,19
17,ID1000116700,2020,6,N   ,N   ,19
17,ID1000116700,2021,6,Y   ,N   ,19
17,ID1000116700,2022,5,Y   ,N   ,19
17,ID1000116700,2023,5,Y   ,N   ,19
17,ID1000116700,2024,,,,19
18,ID1000106800,2014,6,Y   ,N   ,49
18,ID1000106800,2015,7,Y   ,N   ,49
18,ID1000106800,2016,7,Y   ,N   ,49
18,ID1000106800,2017,7,Y   ,N   ,49
18,ID1000106800,2018,7,Y   ,N   ,49
18,ID1000106800,2019,7,Y   ,N   ,49
18,ID1000106800,2020,7,Y   ,N   ,49
18,ID1000106800,2021,7,Y   ,N   ,49
18,ID1000106800,2022,7,Y   ,N   ,49
18,ID1000106800,2023,9,Y   ,N   ,49
18,ID1000106800,2024,,,,49
19,ID1000068604,2014,4,N   ,N   ,24
19,ID1000068604,2015,4,N   ,N   ,24
19,ID1000068604,2016,4,N   ,N   ,24
19,ID1000068604,2017,4,N   ,N   ,24
19,ID1000068604,2018,4,N   ,N   ,24
19,ID1000068604,2019,4,N   ,N   ,24
19,ID1000068604,2020,4,N   ,N   ,24
19,ID1000068604,2021,4,N   ,N   ,24
19,ID1000068604,2022,4,N   ,N   ,24
19,ID1000068604,2023,4,N   ,N   ,24
19,ID1000068604,2024,,,,24
20,ID1000097405,2014,11,Y   ,N   ,15
20,ID1000097405,2015,10,Y   ,N   ,15
20,ID1000097405,2016,10,Y   ,N   ,21
20,ID1000097405,2017,10,Y   ,N   ,21
20,ID1000097405,2018,11,N   ,N   ,21
20,ID1000097405,2019,10,N   ,N   ,21
20,ID1000097405,2020,10,N   ,N   ,21
20,ID1000097405,2021,21,N   ,N   ,21
20,ID1000097405,2022,19,N   ,N   ,14
20,ID1000097405,2023,15,N   ,N   ,16
20,ID1000097405,2024,,,,16
21,ID1000109309,2014,11,Y   ,N   ,21
21,ID1000109309,2015,10,Y   ,N   ,21
21,ID1000109309,2016,10,Y   ,N   ,21
21,ID1000109309,2017,10,Y   ,N   ,21
21,ID1000109309,2018,6,Y   ,N   ,21
21,ID1000109309,2019,5,Y   ,N   ,21
21,ID1000109309,2020,10,N   ,N   ,21
21,ID1000109309,2021,10,N   ,N   ,21
21,ID1000109309,2022,10,Y   ,N   ,21
21,ID1000109309,2023,10,Y   ,N   ,21
21,ID1000109309,2024,,,,21
22,ID1000057003,2014,9,N   ,N   ,50
22,ID1000057003,2015,9,N   ,N   ,50
22,ID1000057003,2016,9,N   ,N   ,50
22,ID1000057003,2017,9,N   ,N   ,50
22,ID1000057003,2018,9,N   ,N   ,50
22,ID1000057003,2019,8,N   ,N   ,50
22,ID1000057003,2020,8,N   ,N   ,50
22,ID1000057003,2021,8,Y   ,N   ,50
22,ID1000057003,2022,7,Y   ,N   ,50
22,ID1000057003,2023,8,Y   ,N   ,50
22,ID1000057003,2024,,,,50
23,ID1000062201,2014,,,,47
23,ID1000062201,2015,,,,47
23,ID1000062201,2016,,,,47
23,ID1000062201,2017,7,N   ,N   ,47
23,ID1000062201,2018,7,N   ,N   ,47
23,ID1000062201,2019,7,N   ,N   ,47
23,ID1000062201,2020,7,N   ,N   ,47
23,ID1000062201,2021,7,N   ,N   ,47
23,ID1000062201,2022,8,N   ,N   ,47
23,ID1000062201,2023,7,Y   ,N   ,47
23,ID1000062201,2024,,,,43
24,ID1000074008,2014,,,,2
24,ID1000074008,2015,6,N   ,N   ,2
24,ID1000074008,2016,6,N   ,N   ,8
24,ID1000074008,2017,6,Y   ,N   ,8
24,ID1000074008,2018,7,Y   ,N   ,8
24,ID1000074008,2019,7,Y   ,N   ,8
24,ID1000074008,2020,4,Y   ,N   ,8
24,ID1000074008,2021,4,Y   ,N   ,8
24,ID1000074008,2022,4,Y   ,N   ,8
24,ID1000074008,2023,4,Y   ,N   ,8
24,ID1000074008,2024,,,,8
25,ID1000061302,2014,7,Y   ,N   ,36
25,ID1000061302,2015,7,Y   ,N   ,36
25,ID1000061302,2016,7,Y   ,N   ,36
25,ID1000061302,2017,7,Y   ,N   ,49
25,ID1000061302,2018,7,Y   ,N   ,49
25,ID1000061302,2019,7,Y   ,N   ,49
25,ID1000061302,2020,6,Y   ,N   ,49
25,ID1000061302,2021,7,Y   ,N   ,49
25,ID1000061302,2022,7,Y   ,N   ,49
25,ID1000061302,2023,7,Y   ,N   ,49
25,ID1000061302,2024,,,,49
26,ID1000108509,2014,7,Y   ,N   ,35
26,ID1000108509,2015,6,Y   ,N   ,35
26,ID1000108509,2016,7,Y   ,N   ,29
26,ID1000108509,2017,7,Y   ,N   ,29
26,ID1000108509,2018,6,Y   ,N   ,35
26,ID1000108509,2019,6,Y   ,N   ,35
26,ID1000108509,2020,7,Y   ,N   ,35
26,ID1000108509,2021,7,Y   ,N   ,35
26,ID1000108509,2022,8,Y   ,N   ,35
26,ID1000108509,2023,8,Y   ,N   ,35
26,ID1000108509,2024,,,,35
27,ID1000060403,2014,,,,40
27,ID1000060403,2015,,,,40
27,ID1000060403,2016,,,,40
27,ID1000060403,2017,6,N   ,N   ,40
27,ID1000060403,2018,7,Y   ,N   ,34
27,ID1000060403,2019,7,Y   ,N   ,40
27,ID1000060403,2020,7,Y   ,N   ,33
27,ID1000060403,2021,7,Y   ,N   ,40
27,ID1000060403,2022,8,Y   ,N   ,40
27,ID1000060403,2023,7,Y   ,N   ,40
27,ID1000060403,2024,,,,40
28,ID1000108103,2014,6,N   ,N   ,30
28,ID1000108103,2015,6,N   ,N   ,30
28,ID1000108103,2016,6,N   ,N   ,30
28,ID1000108103,2017,6,N   ,N   ,30
28,ID1000108103,2018,6,N   ,N   ,30
28,ID1000108103,2019,6,Y   ,N   ,30
28,ID1000108103,2020,5,Y   ,N   ,30
28,ID1000108103,2021,6,Y   ,N   ,30
28,ID1000108103,2022,6,Y   ,N   ,30
28,ID1000108103,2023,7,Y   ,N   ,30
28,ID1000108103,2024,,,,30
29,ID1000125107,2014,7,Y   ,N   ,43
29,ID1000125107,2015,7,Y   ,N   ,43
29,ID1000125107,2016,7,Y   ,N   ,43
29,ID1000125107,2017,7,Y   ,N   ,43
29,ID1000125107,2018,6,Y   ,N   ,43
29,ID1000125107,2019,7,Y   ,N   ,43
29,ID1000125107,2020,7,Y   ,N   ,43
29,ID1000125107,2021,7,Y   ,N   ,43
29,ID1000125107,2022,7,Y   ,N   ,42
29,ID1000125107,2023,7,Y   ,N   ,42
29,ID1000125107,2024,,,,42
30,ID1000113301,2014,5,N   ,N   ,54
30,ID1000113301,2015,8,N   ,N   ,80
30,ID1000113301,2016,9,N   ,N   ,80
30,ID1000113301,2017,9,N   ,N   ,83
30,ID1000113301,2018,8,N   ,N   ,83
30,ID1000113301,2019,5,N   ,N   ,83
30,ID1000113301,2020,4,N   ,N   ,82
30,ID1000113301,2021,6,N   ,N   ,70
30,ID1000113301,2022,6,Y   ,N   ,43
30,ID1000113301,2023,6,Y   ,N   ,52
30,ID1000113301,2024,,,,48
31,ID1000106206,2014,6,N   ,N   ,41
31,ID1000106206,2015,6,N   ,N   ,44
31,ID1000106206,2016,3,N   ,Y   ,37
31,ID1000106206,2017,3,N   ,N   ,41
31,ID1000106206,2018,5,N   ,N   ,42
31,ID1000106206,2019,3,N   ,N   ,43
31,ID1000106206,2020,3,N   ,N   ,46
31,ID1000106206,2021,3,N   ,N   ,54
31,ID1000106206,2022,4,N   ,N   ,54
31,ID1000106206,2023,4,N   ,N   ,54
31,ID1000106206,2024,,,,54
32,ID1000111602,2014,6,Y   ,N   ,43
32,ID1000111602,2015,6,Y   ,N   ,43
32,ID1000111602,2016,6,Y   ,N   ,43
32,ID1000111602,2017,6,Y   ,N   ,43
32,ID1000111602,2018,5,Y   ,N   ,43
32,ID1000111602,2019,6,Y   ,N   ,43
32,ID1000111602,2020,6,Y   ,N   ,43
32,ID1000111602,2021,6,Y   ,N   ,43
32,ID1000111602,2022,6,Y   ,N   ,43
32,ID1000111602,2023,6,Y   ,N   ,43
32,ID1000111602,2024,,,,43
33,ID1000122500,2014,,,,48
33,ID1000122500,2015,,,,42
33,ID1000122500,2016,3,N   ,N   ,48
33,ID1000122500,2017,8,N   ,N   ,44
33,ID1000122500,2018,8,N   ,N   ,30
33,ID1000122500,2019,8,N   ,N   ,31
33,ID1000122500,2020,3,N   ,N   ,31
33,ID1000122500,2021,3,N   ,N   ,31
33,ID1000122500,2022,3,N   ,N   ,31
33,ID1000122500,2023,3,N   ,N   ,31
33,ID1000122500,2024,,,,31
34,ID1000108905,2014,9,N   ,N   ,82
34,ID1000108905,2015,8,N   ,N   ,77
34,ID1000108905,2016,6,N   ,N   ,77
34,ID1000108905,2017,5,N   ,N   ,60
34,ID1000108905,2018,6,N   ,N   ,36
34,ID1000108905,2019,5,N   ,N   ,40
34,ID1000108905,2020,5,N   ,N   ,48
34,ID1000108905,2021,6,N   ,N   ,46
34,ID1000108905,2022,6,Y   ,N   ,46
34,ID1000108905,2023,8,Y   ,N   ,48
34,ID1000108905,2024,,,,48
35,ID1000117708,2014,6,N   ,N   ,44
35,ID1000117708,2015,6,N   ,N   ,44
35,ID1000117708,2016,4,N   ,N   ,44
35,ID1000117708,2017,3,N   ,N   ,44
35,ID1000117708,2018,3,N   ,N   ,44
35,ID1000117708,2019,3,N   ,N   ,44
35,ID1000117708,2020,,N   ,,44
35,ID1000117708,2021,3,N   ,N   ,44
35,ID1000117708,2022,3,N   ,N   ,44
35,ID1000117708,2023,4,Y   ,N   ,44
35,ID1000117708,2024,,,,44
36,ID1000129000,2014,8,N   ,N   ,49
36,ID1000129000,2015,8,N   ,N   ,49
36,ID1000129000,2016,8,N   ,N   ,49
36,ID1000129000,2017,8,N   ,N   ,49
36,ID1000129000,2018,10,N   ,N   ,49
36,ID1000129000,2019,6,N   ,N   ,48
36,ID1000129000,2020,9,N   ,N   ,48
36,ID1000129000,2021,9,N   ,N   ,48
36,ID1000129000,2022,9,Y   ,N   ,48
36,ID1000129000,2023,10,Y   ,N   ,48
36,ID1000129000,2024,,,,48
37,ID1000125305,2014,4,N   ,N   ,27
37,ID1000125305,2015,5,N   ,N   ,38
37,ID1000125305,2016,5,Y   ,N   ,38
37,ID1000125305,2017,5,Y   ,N   ,39
37,ID1000125305,2018,5,Y   ,N   ,39
37,ID1000125305,2019,5,Y   ,N   ,40
37,ID1000125305,2020,4,Y   ,N   ,33
37,ID1000125305,2021,4,Y   ,N   ,39
37,ID1000125305,2022,4,Y   ,N   ,39
37,ID1000125305,2023,4,Y   ,N   ,39
37,ID1000125305,2024,,,,39
38,ID1000128804,2014,,,,67
38,ID1000128804,2015,,,,59
38,ID1000128804,2016,,,,59
38,ID1000128804,2017,,,,57
38,ID1000128804,2018,,,,40
38,ID1000128804,2019,4,N   ,N   ,40
38,ID1000128804,2020,4,Y   ,N   ,41
38,ID1000128804,2021,5,Y   ,N   ,40
38,ID1000128804,2022,5,Y   ,N   ,46
38,ID1000128804,2023,5,Y   ,N   ,41
38,ID1000128804,2024,,,,41
39,ID1000092406,2014,4,N   ,N   ,62
39,ID1000092406,2015,7,N   ,N   ,62
39,ID1000092406,2016,7,N   ,N   ,62
39,ID1000092406,2017,4,N   ,N   ,62
39,ID1000092406,2018,9,N   ,N   ,54
39,ID1000092406,2019,6,N   ,N   ,54
39,ID1000092406,2020,5,N   ,N   ,54
39,ID1000092406,2021,5,Y   ,N   ,60
39,ID1000092406,2022,5,Y   ,N   ,66
39,ID1000092406,2023,5,Y   ,N   ,66
39,ID1000092406,2024,,,,66
40,ID1000094006,2014,6,Y   ,N   ,35
40,ID1000094006,2015,6,Y   ,N   ,35
40,ID1000094006,2016,6,Y   ,N   ,35
40,ID1000094006,2017,6,Y   ,N   ,35
40,ID1000094006,2018,6,Y   ,N   ,
40,ID1000094006,2019,6,Y   ,N   ,
40,ID1000094006,2020,6,Y   ,N   ,34
40,ID1000094006,2021,7,Y   ,N   ,34
40,ID1000094006,2022,6,Y   ,N   ,34
40,ID1000094006,2023,6,Y   ,N   ,34
40,ID1000094006,2024,,,,34
41,ID1000116908,2014,5,N   ,N   ,41
41,ID1000116908,2015,5,N   ,N   ,45
41,ID1000116908,2016,4,N   ,N   ,48
41,ID1000116908,2017,4,N   ,N   ,45
41,ID1000116908,2018,4,N   ,N   ,45
41,ID1000116908,2019,4,Y   ,N   ,45
41,ID1000116908,2020,4,Y   ,N   ,41
41,ID1000116908,2021,4,Y   ,N   ,44
41,ID1000116908,2022,4,Y   ,N   ,28
41,ID1000116908,2023,4,Y   ,N   ,16
41,ID1000116908,2024,,,,11
42,ID1000095706,2014,5,Y   ,N   ,15
42,ID1000095706,2015,5,Y   ,N   ,15
42,ID1000095706,2016,5,Y   ,N   ,15
42,ID1000095706,2017,5,Y   ,N   ,15
42,ID1000095706,2018,5,Y   ,N   ,15
42,ID1000095706,2019,5,Y   ,N   ,15
42,ID1000095706,2020,6,Y   ,N   ,15
42,ID1000095706,2021,6,Y   ,N   ,15
42,ID1000095706,2022,6,Y   ,N   ,15
42,ID1000095706,2023,6,Y   ,N   ,15
42,ID1000095706,2024,,,,15
43,ID1000058407,2014,7,Y   ,N   ,41
43,ID1000058407,2015,6,Y   ,N   ,41
43,ID1000058407,2016,6,Y   ,N   ,41
43,ID1000058407,2017,6,Y   ,N   ,41
43,ID1000058407,2018,6,Y   ,N   ,41
43,ID1000058407,2019,6,Y   ,N   ,41
43,ID1000058407,2020,6,Y   ,N   ,41
43,ID1000058407,2021,6,Y   ,N   ,41
43,ID1000058407,2022,6,Y   ,N   ,41
43,ID1000058407,2023,6,Y   ,N   ,41
43,ID1000058407,2024,,,,41
44,ID1000126105,2014,,,,32
44,ID1000126105,2015,5,N   ,N   ,34
44,ID1000126105,2016,6,N   ,N   ,34
44,ID1000126105,2017,6,N   ,N   ,34
44,ID1000126105,2018,7,N   ,N   ,28
44,ID1000126105,2019,7,N   ,N   ,28
44,ID1000126105,2020,8,N   ,N   ,34
44,ID1000126105,2021,9,N   ,N   ,34
44,ID1000126105,2022,7,N   ,N   ,16
44,ID1000126105,2023,6,N   ,N   ,25
44,ID1000126105,2024,,,,25
45,ID1000102502,2014,7,N   ,N   ,34
45,ID1000102502,2015,7,N   ,N   ,34
45,ID1000102502,2016,8,Y   ,N   ,47
45,ID1000102502,2017,9,N   ,N   ,34
45,ID1000102502,2018,9,N   ,N   ,34
45,ID1000102502,2019,9,N   ,N   ,34
45,ID1000102502,2020,9,N   ,N   ,34
45,ID1000102502,2021,8,N   ,N   ,34
45,ID1000102502,2022,7,N   ,N   ,39
45,ID1000102502,2023,7,Y   ,N   ,34
45,ID1000102502,2024,,,,34
46,JP3122400009,2014,13,Y   ,N   ,93
46,JP3122400009,2015,10,Y   ,N   ,81
46,JP3122400009,2016,12,Y   ,N   ,73
46,JP3122400009,2017,9,Y   ,N   ,78
46,JP3122400009,2018,9,Y   ,N   ,74
46,JP3122400009,2019,12,Y   ,N   ,73
46,JP3122400009,2020,11,Y   ,N   ,76
46,JP3122400009,2021,11,Y   ,N   ,75
46,JP3122400009,2022,11,Y   ,N   ,87
46,JP3122400009,2023,11,Y   ,N   ,100
46,JP3122400009,2024,,,,88
47,JP3726800000,2014,8,Y   ,N   ,67
47,JP3726800000,2015,8,Y   ,N   ,67
47,JP3726800000,2016,7,Y   ,N   ,67
47,JP3726800000,2017,7,Y   ,N   ,67
47,JP3726800000,2018,7,Y   ,N   ,67
47,JP3726800000,2019,9,Y   ,N   ,67
47,JP3726800000,2020,9,N   ,N   ,67
47,JP3726800000,2021,9,N   ,N   ,67
47,JP3726800000,2022,10,N   ,N   ,67
47,JP3726800000,2023,9,N   ,N   ,67
47,JP3726800000,2024,,,,67
48,JP3111200006,2014,10,Y   ,N   ,95
48,JP3111200006,2015,12,Y   ,N   ,95
48,JP3111200006,2016,10,Y   ,N   ,95
48,JP3111200006,2017,9,Y   ,N   ,94
48,JP3111200006,2018,9,Y   ,N   ,90
48,JP3111200006,2019,7,Y   ,N   ,87
48,JP3111200006,2020,9,Y   ,N   ,94
48,JP3111200006,2021,9,Y   ,N   ,94
48,JP3111200006,2022,9,Y   ,N   ,100
48,JP3111200006,2023,8,Y   ,N   ,100
48,JP3111200006,2024,10,Y   ,N   ,100
49,JP3108060009,2014,6,N   ,N   ,72
49,JP3108060009,2015,5,N   ,N   ,71
49,JP3108060009,2016,5,N   ,N   ,78
49,JP3108060009,2017,6,N   ,N   ,75
49,JP3108060009,2018,5,N   ,N   ,53
49,JP3108060009,2019,6,N   ,N   ,41
49,JP3108060009,2020,6,N   ,N   ,42
49,JP3108060009,2021,6,N   ,N   ,41
49,JP3108060009,2022,6,N   ,N   ,39
49,JP3108060009,2023,6,N   ,N   ,84
49,JP3108060009,2024,7,Y   ,N   ,56
50,JP3108600002,2014,9,N   ,N   ,32
50,JP3108600002,2015,9,N   ,N   ,32
50,JP3108600002,2016,10,N   ,N   ,32
50,JP3108600002,2017,10,N   ,N   ,32
50,JP3108600002,2018,12,N   ,N   ,32
50,JP3108600002,2019,12,N   ,N   ,32
50,JP3108600002,2020,10,N   ,N   ,32
50,JP3108600002,2021,9,N   ,N   ,32
50,JP3108600002,2022,9,Y   ,N   ,31
50,JP3108600002,2023,9,Y   ,N   ,31
50,JP3108600002,2024,,,,31
51,JP3131430005,2014,13,Y   ,N   ,51
51,JP3131430005,2015,13,Y   ,N   ,45
51,JP3131430005,2016,11,Y   ,N   ,50
51,JP3131430005,2017,13,Y   ,N   ,47
51,JP3131430005,2018,12,Y   ,N   ,45
51,JP3131430005,2019,13,Y   ,N   ,45
51,JP3131430005,2020,12,Y   ,N   ,44
51,JP3131430005,2021,13,Y   ,N   ,42
51,JP3131430005,2022,13,Y   ,N   ,42
51,JP3131430005,2023,12,Y   ,N   ,42
51,JP3131430005,2024,,,,42
52,JP3131400008,2014,12,Y   ,N   ,44
52,JP3131400008,2015,12,Y   ,N   ,52
52,JP3131400008,2016,13,Y   ,N   ,53
52,JP3131400008,2017,11,Y   ,N   ,56
52,JP3131400008,2018,15,Y   ,N   ,55
52,JP3131400008,2019,11,Y   ,N   ,55
52,JP3131400008,2020,13,Y   ,N   ,52
52,JP3131400008,2021,13,Y   ,N   ,52
52,JP3131400008,2022,12,Y   ,N   ,52
52,JP3131400008,2023,12,Y   ,N   ,52
52,JP3131400008,2024,12,Y   ,N   ,52
53,JP3112000009,2014,7,Y   ,N   ,100
53,JP3112000009,2015,7,Y   ,Y   ,100
53,JP3112000009,2016,7,Y   ,N   ,100
53,JP3112000009,2017,7,Y   ,N   ,100
53,JP3112000009,2018,7,Y   ,N   ,100
53,JP3112000009,2019,7,Y   ,N   ,100
53,JP3112000009,2020,7,Y   ,N   ,95
53,JP3112000009,2021,7,Y   ,Y   ,95
53,JP3112000009,2022,7,Y   ,N   ,95
53,JP3112000009,2023,7,Y   ,N   ,95
53,JP3112000009,2024,,,,95
54,JP3105040004,2014,9,N   ,N   ,62
54,JP3105040004,2015,8,N   ,N   ,62
54,JP3105040004,2016,11,N   ,N   ,62
54,JP3105040004,2017,11,N   ,N   ,63
54,JP3105040004,2018,11,N   ,N   ,63
54,JP3105040004,2019,12,N   ,N   ,63
