Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BUMI SERPONG DAMAI - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,NA
BUMI SERPONG DAMAI - FREE FLOAT NOSH,47,47,48,48,48,48,48,43,41,38,35
BANK TABUNGAN NEGARA - Board Size,NA,NA,NA,9,10,6,6,7,8,8,NA
BANK TABUNGAN NEGARA - Current CEO Chairman Duality,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
BANK TABUNGAN NEGARA - CSR Sustainability Committee,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,NA
BANK TABUNGAN NEGARA - FREE FLOAT NOSH,39,39,39,39,39,39,39,39,39,39,34
GLOBAL MEDIACOM - Board Size,7,5,5,4,4,4,4,4,4,3,NA
GLOBAL MEDIACOM - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
GLOBAL MEDIACOM - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,NA
GLOBAL MEDIACOM - FREE FLOAT NOSH,47,50,47,47,47,51,51,55,49,48,48
INDOFOOD CBP SUKSES MKM. - Board Size,7,6,6,6,6,6,6,6,5,5,NA
INDOFOOD CBP SUKSES MKM. - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
INDOFOOD CBP SUKSES MKM. - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,NA
INDOFOOD CBP SUKSES MKM. - FREE FLOAT NOSH,19,19,19,19,19,19,19,19,19,19,19
SEMEN INDONESIA - Board Size,6,7,7,7,7,7,7,7,7,9,NA
SEMEN INDONESIA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
