Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CENTRAL JAPAN RAILWAY - Board Size,21,17,15,18,20,20,23,17,15,14,14
CENTRAL JAPAN RAILWAY - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
CENTRAL JAPAN RAILWAY - CSR Sustainability Committee,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   
CENTRAL JAPAN RAILWAY - FREE FLOAT NOSH,100,100,100,100,100,100,100,100,100,100,100
JAPAN REAL ESTATE INV. - Board Size,3,3,3,3,NA,NA,NA,NA,NA,NA,NA
JAPAN REAL ESTATE INV. - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,NA,NA,NA,NA,NA,NA,NA
JAPAN REAL ESTATE INV. - CSR Sustainability Committee,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
JAPAN REAL ESTATE INV. - FREE FLOAT NOSH,95,100,95,94,93,93,92,86,100,100,90
JAPAN METROPOLITAN FUND - Board Size,3,3,3,3,NA,NA,NA,NA,NA,NA,NA
JAPAN METROPOLITAN FUND - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,NA,NA,NA,NA,NA,NA,NA
JAPAN METROPOLITAN FUND - CSR Sustainability Committee,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
JAPAN METROPOLITAN FUND - FREE FLOAT NOSH,94,100,100,100,100,100,100,100,100,100,87
MITSUBISHI GAS CHM. - Board Size,12,10,13,13,12,12,11,12,12,12,NA
MITSUBISHI GAS CHM. - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
MITSUBISHI GAS CHM. - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
MITSUBISHI GAS CHM. - FREE FLOAT NOSH,100,100,100,100,100,100,100,100,94,95,95
AEON - Board Size,11,11,11,8,10,11,10,7,7,6,NA
AEON - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,N   ,N   ,NA
AEON - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
AEON - FREE FLOAT NOSH,100,100,100,100,100,100,100,100,100,100,100
JAPAN AIRPORT TERM. - Board Size,NA,14,15,18,18,18,16,15,15,15,NA
JAPAN AIRPORT TERM. - Current CEO Chairman Duality,NA,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
JAPAN AIRPORT TERM. - CSR Sustainability Committee,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,NA
JAPAN AIRPORT TERM. - FREE FLOAT NOSH,90,90,84,83,90,90,90,100,95,95,100
NIPPON SHINYAKU - Board Size,NA,NA,NA,NA,NA,9,12,12,12,12,NA
NIPPON SHINYAKU - Current CEO Chairman Duality,NA,NA,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,NA
NIPPON SHINYAKU - CSR Sustainability Committee,NA,NA,NA,NA,NA,Y   ,Y   ,Y   ,Y   ,Y   ,NA
NIPPON SHINYAKU - FREE FLOAT NOSH,85,91,84,85,91,84,82,91,91,91,91
JAPAN STEEL WORKS - Board Size,11,11,10,11,10,11,10,9,9,8,NA
JAPAN STEEL WORKS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
JAPAN STEEL WORKS - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA
JAPAN STEEL WORKS - FREE FLOAT NOSH,100,100,100,100,94,95,93,93,88,88,89
ENEOS HOLDINGS - Board Size,18,18,18,18,20,22,17,16,15,16,14
ENEOS HOLDINGS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,N   
ENEOS HOLDINGS - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
ENEOS HOLDINGS - FREE FLOAT NOSH,100,100,100,100,100,100,100,95,100,100,100
MITSUBISHI LOGISTICS - Board Size,17,17,18,18,15,15,15,14,14,14,12
MITSUBISHI LOGISTICS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   
MITSUBISHI LOGISTICS - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
MITSUBISHI LOGISTICS - FREE FLOAT NOSH,94,89,83,83,87,86,86,86,89,81,94
KAO - Board Size,6,6,7,7,7,8,8,8,9,10,NA
KAO - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
KAO - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
KAO - FREE FLOAT NOSH,100,100,100,100,100,95,95,94,94,94,95
KAKAKU.COM - Board Size,10,10,11,11,11,8,9,9,10,9,NA
KAKAKU.COM - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
KAKAKU.COM - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA
KAKAKU.COM - FREE FLOAT NOSH,64,47,45,48,48,63,54,63,57,62,57
KIRIN HOLDINGS - Board Size,8,9,9,9,9,9,15,12,12,12,NA
KIRIN HOLDINGS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
KIRIN HOLDINGS - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
KIRIN HOLDINGS - FREE FLOAT NOSH,100,100,100,100,100,95,100,95,100,100,100
KOBE BUSSAN - Board Size,NA,NA,NA,NA,NA,9,9,9,11,11,NA
KOBE BUSSAN - Current CEO Chairman Duality,NA,NA,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,NA
KOBE BUSSAN - CSR Sustainability Committee,NA,NA,NA,NA,NA,N   ,N   ,N   ,N   ,Y   ,NA
KOBE BUSSAN - FREE FLOAT NOSH,64,63,63,63,74,74,74,74,74,74,74
KAJIMA - Board Size,10,10,14,14,14,14,13,10,12,13,12
KAJIMA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
KAJIMA - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
KAJIMA - FREE FLOAT NOSH,100,100,100,100,100,100,100,95,100,100,100
KANSAI ELECTRIC PWR. - Board Size,19,18,17,17,15,15,8,13,14,13,13
KANSAI ELECTRIC PWR. - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
KANSAI ELECTRIC PWR. - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
KANSAI ELECTRIC PWR. - FREE FLOAT NOSH,91,91,91,91,93,93,93,93,93,93,93
KEIHAN HOLDINGS - Board Size,NA,7,7,7,13,13,13,13,14,14,NA
KEIHAN HOLDINGS - Current CEO Chairman Duality,NA,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,NA
KEIHAN HOLDINGS - CSR Sustainability Committee,NA,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
KEIHAN HOLDINGS - FREE FLOAT NOSH,100,100,100,100,100,100,100,100,100,100,100
KEWPIE - Board Size,12,13,13,11,10,11,11,9,9,9,NA
KEWPIE - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
KEWPIE - CSR Sustainability Committee,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
KEWPIE - FREE FLOAT NOSH,80,78,80,80,82,85,85,85,84,84,84
KEYENCE - Board Size,9,11,12,10,10,10,9,6,8,9,NA
KEYENCE - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
KEYENCE - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
KEYENCE - FREE FLOAT NOSH,74,74,74,77,77,77,72,79,85,85,85
KYUSHU FINANCIAL GP. - Board Size,NA,NA,14,15,11,8,10,9,16,16,16
KYUSHU FINANCIAL GP. - Current CEO Chairman Duality,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
KYUSHU FINANCIAL GP. - CSR Sustainability Committee,NA,NA,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   
KYUSHU FINANCIAL GP. - FREE FLOAT NOSH,NA,NA,100,100,100,100,100,100,100,100,100
KANEKA - Board Size,15,11,12,12,11,15,14,12,11,12,NA
KANEKA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
KANEKA - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
KANEKA - FREE FLOAT NOSH,100,95,100,100,95,94,94,93,100,100,100
KYOWA KIRIN - Board Size,6,8,8,8,7,8,7,8,9,9,NA
KYOWA KIRIN - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,Y   ,Y   ,N   ,N   ,N   ,N   ,NA
KYOWA KIRIN - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
KYOWA KIRIN - FREE FLOAT NOSH,50,50,50,50,50,47,47,47,47,47,47
KEIKYU - Board Size,17,17,16,17,17,NA,13,8,9,8,8
KEIKYU - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,NA,N   ,N   ,N   ,N   ,N   
KEIKYU - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,NA,N   ,Y   ,Y   ,Y   ,Y   
KEIKYU - FREE FLOAT NOSH,100,100,100,100,100,100,100,100,100,100,100
NGK INSULATORS - Board Size,15,8,15,15,16,12,12,13,9,9,NA
NGK INSULATORS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
NGK INSULATORS - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
NGK INSULATORS - FREE FLOAT NOSH,79,81,82,82,88,87,79,78,80,80,80
KINDEN - Board Size,17,15,14,15,16,15,15,13,13,14,15
KINDEN - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
KINDEN - CSR Sustainability Committee,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
KINDEN - FREE FLOAT NOSH,66,66,66,66,66,66,66,64,64,64,64
KINTETSU GROUP HDG. - Board Size,21,22,21,22,21,21,17,13,14,14,12
KINTETSU GROUP HDG. - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   
KINTETSU GROUP HDG. - CSR Sustainability Committee,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   
KINTETSU GROUP HDG. - FREE FLOAT NOSH,100,100,100,100,100,100,100,100,100,100,100
COCA-COLA BOTTLERS JAPAN - Board Size,13,12,14,6,11,9,9,9,9,9,NA
COCA-COLA BOTTLERS JAPAN - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
COCA-COLA BOTTLERS JAPAN - CSR Sustainability Committee,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,NA
COCA-COLA BOTTLERS JAPAN - FREE FLOAT NOSH,85,85,85,78,86,86,86,86,81,86,86
KAWASAKI KISEN KAISHA - Board Size,16,13,10,12,12,11,11,10,10,9,9
KAWASAKI KISEN KAISHA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,N   ,N   ,N   ,N   
KAWASAKI KISEN KAISHA - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
KAWASAKI KISEN KAISHA - FREE FLOAT NOSH,100,100,42,39,45,34,50,50,50,54,64
KOMATSU - Board Size,11,10,10,10,8,8,8,8,9,10,9
KOMATSU - Current CEO Chairman Duality,Y   ,N   ,N   ,N   ,N   ,N   ,Y   ,N   ,N   ,N   ,N   
KOMATSU - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
KOMATSU - FREE FLOAT NOSH,100,100,100,100,100,90,95,94,95,100,100
KAMIGUMI - Board Size,13,11,12,13,13,11,11,12,10,12,10
KAMIGUMI - Current CEO Chairman Duality,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
KAMIGUMI - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   
KAMIGUMI - FREE FLOAT NOSH,100,100,100,100,100,100,95,95,94,94,93
KIKKOMAN - Board Size,11,11,11,11,10,12,12,11,12,12,NA
KIKKOMAN - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA
KIKKOMAN - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
KIKKOMAN - FREE FLOAT NOSH,100,100,100,100,94,93,92,92,100,100,100
MAZDA MOTOR - Board Size,15,12,12,15,10,10,15,15,15,16,NA
MAZDA MOTOR - Current CEO Chairman Duality,Y   ,N   ,N   ,N   ,N   ,Y   ,N   ,N   ,N   ,N   ,NA
MAZDA MOTOR - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
MAZDA MOTOR - FREE FLOAT NOSH,100,100,100,100,95,95,95,95,95,95,95
KOBAYASHI PHARMACEUTICAL - Board Size,NA,NA,NA,9,8,7,6,7,7,NA,NA
KOBAYASHI PHARMACEUTICAL - Current CEO Chairman Duality,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,NA,NA
KOBAYASHI PHARMACEUTICAL - CSR Sustainability Committee,NA,NA,NA,N   ,N   ,Y   ,Y   ,Y   ,Y   ,NA,NA
KOBAYASHI PHARMACEUTICAL - FREE FLOAT NOSH,76,76,76,75,75,75,75,81,81,80,80
KOEI TECMO HOLDINGS - Board Size,NA,NA,NA,NA,NA,NA,11,11,12,13,NA
KOEI TECMO HOLDINGS - Current CEO Chairman Duality,NA,NA,NA,NA,NA,NA,N   ,N   ,N   ,N   ,NA
KOEI TECMO HOLDINGS - CSR Sustainability Committee,NA,NA,NA,NA,NA,NA,N   ,N   ,N   ,Y   ,NA
KOEI TECMO HOLDINGS - FREE FLOAT NOSH,48,46,53,35,36,36,35,37,37,42,33
KOMORI - Board Size,8,7,7,8,8,9,9,9,10,10,11
KOMORI - Current CEO Chairman Duality,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,N   ,N   ,N   ,N   
KOMORI - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
KOMORI - FREE FLOAT NOSH,100,94,90,92,90,90,88,86,86,88,88
KONAMI GROUP - Board Size,8,8,11,11,9,11,11,10,8,8,NA
KONAMI GROUP - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
KONAMI GROUP - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA
KONAMI GROUP - FREE FLOAT NOSH,72,72,71,70,69,68,68,68,77,77,69
KONICA MINOLTA - Board Size,12,12,13,11,11,13,13,12,11,9,9
KONICA MINOLTA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,N   
KONICA MINOLTA - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
KONICA MINOLTA - FREE FLOAT NOSH,100,100,100,100,95,100,93,93,94,100,100
SECOM - Board Size,12,12,12,11,12,11,11,11,11,8,NA
SECOM - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
SECOM - CSR Sustainability Committee,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
SECOM - FREE FLOAT NOSH,100,100,100,100,94,93,100,100,100,100,100
KYUSHU RAILWAY - Board Size,NA,NA,NA,19,19,14,14,16,16,15,NA
KYUSHU RAILWAY - Current CEO Chairman Duality,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,NA
KYUSHU RAILWAY - CSR Sustainability Committee,NA,NA,NA,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
KYUSHU RAILWAY - FREE FLOAT NOSH,NA,NA,NA,94,100,100,100,94,100,100,100
NITERRA - Board Size,10,8,10,9,10,9,10,12,11,13,12
NITERRA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
NITERRA - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
NITERRA - FREE FLOAT NOSH,86,86,86,86,85,78,78,84,78,84,84
KEISEI ELEC.RAILWAY - Board Size,15,16,16,15,16,16,11,13,12,12,NA
KEISEI ELEC.RAILWAY - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
KEISEI ELEC.RAILWAY - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
KEISEI ELEC.RAILWAY - FREE FLOAT NOSH,100,100,100,100,100,100,100,100,100,100,100
KEIO - Board Size,18,18,18,18,18,18,15,17,16,15,NA
KEIO - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
KEIO - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,NA
KEIO - FREE FLOAT NOSH,95,100,100,100,100,100,100,100,100,100,100
KYORITSU MAINTENANCE - Board Size,NA,NA,NA,NA,NA,NA,16,18,17,17,NA
KYORITSU MAINTENANCE - Current CEO Chairman Duality,NA,NA,NA,NA,NA,NA,N   ,N   ,N   ,N   ,NA
KYORITSU MAINTENANCE - CSR Sustainability Committee,NA,NA,NA,NA,NA,NA,N   ,N   ,N   ,Y   ,NA
KYORITSU MAINTENANCE - FREE FLOAT NOSH,81,82,84,84,79,78,84,78,76,77,79
KUBOTA - Board Size,8,7,8,9,10,9,9,9,10,11,NA
KUBOTA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
KUBOTA - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
KUBOTA - FREE FLOAT NOSH,88,95,95,95,95,95,95,95,95,90,90
KAWASAKI HEAVY INDUSTRY - Board Size,11,14,13,13,12,12,7,13,13,12,13
KAWASAKI HEAVY INDUSTRY - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,N   ,N   ,N   
KAWASAKI HEAVY INDUSTRY - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
KAWASAKI HEAVY INDUSTRY - FREE FLOAT NOSH,100,100,100,100,100,100,100,94,93,100,94
ONWARD HOLDINGS - Board Size,7,7,7,7,5,7,5,6,7,6,NA
ONWARD HOLDINGS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
ONWARD HOLDINGS - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
ONWARD HOLDINGS - FREE FLOAT NOSH,90,88,87,82,89,89,88,94,94,94,94
LASERTEC - Board Size,NA,NA,NA,NA,9,9,8,9,6,6,9
LASERTEC - Current CEO Chairman Duality,NA,NA,NA,NA,N   ,N   ,N   ,N   ,N   ,N   ,N   
LASERTEC - CSR Sustainability Committee,NA,NA,NA,NA,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   
LASERTEC - FREE FLOAT NOSH,100,92,91,92,95,100,100,93,93,100,93
LAWSON - Board Size,8,9,7,8,9,9,9,8,7,5,NA
LAWSON - Current CEO Chairman Duality,N   ,Y   ,N   ,Y   ,Y   ,N   ,N   ,N   ,N   ,N   ,NA
LAWSON - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
LAWSON - FREE FLOAT NOSH,68,67,67,50,50,50,50,50,50,50,9
LION - Board Size,NA,NA,11,9,8,9,9,10,11,11,NA
LION - Current CEO Chairman Duality,NA,NA,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
LION - CSR Sustainability Committee,NA,NA,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
LION - FREE FLOAT NOSH,100,100,100,100,100,100,100,100,100,100,100
LIXIL - Board Size,12,12,12,14,13,12,7,9,10,10,10
LIXIL - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,N   ,N   ,N   ,N   
LIXIL - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
LIXIL - FREE FLOAT NOSH,100,100,100,100,100,100,100,91,88,87,100
MITSUBISHI MATERIALS - Board Size,11,11,11,10,11,11,12,10,11,11,11
MITSUBISHI MATERIALS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
MITSUBISHI MATERIALS - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
MITSUBISHI MATERIALS - FREE FLOAT NOSH,100,100,100,100,100,100,100,100,100,100,100
NIPPON ELEC.GLASS - Board Size,8,8,9,10,10,10,9,9,10,8,NA
NIPPON ELEC.GLASS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
NIPPON ELEC.GLASS - CSR Sustainability Committee,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
NIPPON ELEC.GLASS - FREE FLOAT NOSH,83,81,86,81,82,80,81,84,90,87,91
TOKYO SEIMITSU - Board Size,10,11,11,11,11,11,13,13,13,13,12
TOKYO SEIMITSU - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   
TOKYO SEIMITSU - CSR Sustainability Committee,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
TOKYO SEIMITSU - FREE FLOAT NOSH,87,93,100,93,100,84,92,85,88,93,87
MATSUI SECURITIES - Board Size,8,9,9,11,11,11,9,11,14,15,15
MATSUI SECURITIES - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
MATSUI SECURITIES - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   
MATSUI SECURITIES - FREE FLOAT NOSH,56,56,54,55,53,47,47,53,53,53,53
MATSUKIYOKARA - Board Size,10,9,8,9,10,9,10,10,13,15,NA
MATSUKIYOKARA - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
MATSUKIYOKARA - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA
MATSUKIYOKARA - FREE FLOAT NOSH,83,79,84,79,84,94,93,93,95,95,95
MITSUBISHI CHEMICAL - Board Size,6,8,13,14,13,12,12,12,12,9,NA
MITSUBISHI CHEMICAL - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
MITSUBISHI CHEMICAL - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
MITSUBISHI CHEMICAL - FREE FLOAT NOSH,100,100,100,100,100,100,100,100,100,100,100
MABUCHI MOTOR - Board Size,7,9,9,9,9,13,13,13,13,13,NA
MABUCHI MOTOR - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,NA
MABUCHI MOTOR - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,Y   ,Y   ,Y   ,Y   ,Y   ,NA
MABUCHI MOTOR - FREE FLOAT NOSH,88,93,93,93,93,88,87,86,86,86,86
MCDONALD'S HOLDINGS - Board Size,8,10,10,9,9,10,11,10,8,10,NA
MCDONALD'S HOLDINGS - Current CEO Chairman Duality,Y   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   ,N   ,N   ,NA
MCDONALD'S HOLDINGS - CSR Sustainability Committee,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,NA
MCDONALD'S HOLDINGS - FREE FLOAT NOSH,50,50,50,50,50,50,50,59,65,65,65
LEOPALACE21 - Board Size,14,13,15,17,17,16,15,10,7,10,10
LEOPALACE21 - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
LEOPALACE21 - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
LEOPALACE21 - FREE FLOAT NOSH,90,94,100,89,100,86,64,60,59,53,59
MITSUBISHI ESTATE - Board Size,14,14,14,15,15,15,16,16,16,16,14
MITSUBISHI ESTATE - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,Y   
MITSUBISHI ESTATE - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
MITSUBISHI ESTATE - FREE FLOAT NOSH,100,100,100,100,100,100,100,100,100,100,100
MEDIPAL HOLDINGS - Board Size,10,11,11,10,11,11,10,11,12,12,12
MEDIPAL HOLDINGS - Current CEO Chairman Duality,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   ,N   
MEDIPAL HOLDINGS - CSR Sustainability Committee,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   ,Y   
MEDIPAL HOLDINGS - FREE FLOAT NOSH,91,91,91,91,91,100,100,100,100,100,100
MEITEC GROUP HOLDINGS - Board Size,9,9,9,9,8,8,9,9,9,9,NA
