No,ISIN CODE,Year,PRICE TO BOOK VAL,RETURN ON ASSETS,TOTAL DEBT % COMMON EQUITY
28,ID1000108103,2017,2.4,4.28,228.21
29,ID1000125107,2014,8.24,17.84,3.16
29,ID1000125107,2015,8.06,15.6,3.81
29,ID1000125107,2016,5.51,16.25,2.38
29,ID1000125107,2017,5.58,15.37,2.4
30,ID1000113301,2014,230.03,51.63,388.07
30,ID1000113301,2015,47.42,52.09,0
30,ID1000113301,2016,28.39,47.18,0
30,ID1000113301,2017,19.24,37.64,0
31,ID1000106206,2014,4.13,15.6,35.92
31,ID1000106206,2015,3.48,9.61,42.36
31,ID1000106206,2016,3.44,10.68,42.97
31,ID1000106206,2017,2.56,11.23,42.31
32,ID1000111602,2014,3.87,14.38,68.39
32,ID1000111602,2015,2.45,8.46,89.68
32,ID1000111602,2016,1.27,6.01,91.76
32,ID1000111602,2017,1.33,3.33,75.52
33,ID1000122500,2014,2.96,21.34,74.46
33,ID1000122500,2015,3.09,8.2,67.99
33,ID1000122500,2016,2.83,9.92,60.34
33,ID1000122500,2017,2.96,9.66,52.59
34,ID1000108905,2014,1.6,7.85,64.08
34,ID1000108905,2015,1.83,1.88,75.47
34,ID1000108905,2016,1.15,2.61,73.58
34,ID1000108905,2017,0.74,1.51,60.62
35,ID1000117708,2014,5.79,10.97,60.38
35,ID1000117708,2015,4.12,10.19,65.86
35,ID1000117708,2016,3.77,10.46,46.75
35,ID1000117708,2017,3.13,11.62,37.53
36,ID1000129000,2014,3.52,11.9,34.59
36,ID1000129000,2015,3.71,11.27,46.07
36,ID1000129000,2016,4.27,12.47,37.68
36,ID1000129000,2017,4.84,12.96,38.26
37,ID1000125305,2014,13.26,34.96,13.1
37,ID1000125305,2015,14.17,33.93,11.32
37,ID1000125305,2016,13.91,33,6.05
37,ID1000125305,2017,10.72,26.55,1.72
38,ID1000128804,2014,8.29,7.45,199.99
38,ID1000128804,2015,5.13,17.26,128.94
38,ID1000128804,2016,3.81,14.93,92.63
38,ID1000128804,2017,5.26,13.61,126.71
39,ID1000092406,2014,3.25,11.32,79.73
39,ID1000092406,2015,4.63,7.13,103.08
39,ID1000092406,2016,3.56,3.71,118.96
39,ID1000092406,2017,2.94,3.63,122.64
40,ID1000094006,2014,2.68,15.94,26.37
40,ID1000094006,2015,2.48,13.88,22.04
40,ID1000094006,2016,1.27,12.24,22.73
40,ID1000094006,2017,1.67,23.2,7.15
41,ID1000116908,2014,8.28,11.24,403.5
41,ID1000116908,2015,28.22,13.08,1207.84
41,ID1000116908,2016,18.84,12.54,1215.39
41,ID1000116908,2017,8.51,16.97,659.96
42,ID1000095706,2014,49.11,43.06,27.18
42,ID1000095706,2015,68.52,39.6,35.22
42,ID1000095706,2016,69.01,40.01,50.87
42,ID1000095706,2017,71.9,39.83,66.69
43,ID1000058407,2014,2.15,9.38,7.08
43,ID1000058407,2015,2.25,6.5,6.02
43,ID1000058407,2016,1.21,8.18,2.72
43,ID1000058407,2017,1.99,10.46,10.31
44,ID1000126105,2014,2.5,5.84,111.25
44,ID1000126105,2015,2.42,6.08,86.91
44,ID1000126105,2016,3.03,5.33,228.01
44,ID1000126105,2017,2.2,6.56,313.44
45,ID1000102502,2014,3.3,0.92,227.1
45,ID1000102502,2015,2.38,2.44,208.24
45,ID1000102502,2016,1.61,3.49,86.6
45,ID1000102502,2017,1.51,3.12,89.68
46,JP3122400009,2014,1.35,-15.81,47.44
46,JP3122400009,2015,2.64,5.19,39.11
46,JP3122400009,2016,1.87,3.21,47.66
46,JP3122400009,2017,2.85,6.8,40.86
47,JP3726800000,2014,2.37,12.06,8.22
47,JP3726800000,2015,3.32,,10.07
47,JP3726800000,2016,3.21,9.47,22.61
47,JP3726800000,2017,2.67,8.3,27.37
48,JP3111200006,2014,0.94,5.6,33.29
48,JP3111200006,2015,1.49,5.52,24.85
48,JP3111200006,2016,0.87,4.48,43.16
48,JP3111200006,2017,1.16,5.33,34.99
49,JP3108060009,2014,0.67,0.56,0
49,JP3108060009,2015,1.73,-7.35,0
49,JP3108060009,2016,0.92,-4.14,0
49,JP3108060009,2017,1.09,1.02,0
50,JP3108600002,2014,1.93,2.47,236.3
50,JP3108600002,2015,2.01,2.76,232.69
50,JP3108600002,2016,3.96,2.68,220.61
50,JP3108600002,2017,2.32,-4.88,304.76
51,JP3131430005,2014,1.76,3.6,65.08
51,JP3131430005,2015,1.64,3.13,77.78
51,JP3131430005,2016,0.96,2.81,100.4
51,JP3131430005,2017,1.24,3.05,103.02
52,JP3131400008,2014,1.8,1.08,234.5
52,JP3131400008,2015,2.06,1.26,294.73
52,JP3131400008,2016,1.51,1.33,261.13
52,JP3131400008,2017,1.3,1.31,219.19
53,JP3112000009,2014,0.57,0.95,44.85
53,JP3112000009,2015,0.84,2.32,42.84
53,JP3112000009,2016,0.7,2.68,39.62
53,JP3112000009,2017,0.88,3.57,41.31
54,JP3105040004,2014,1.85,6.11,190.17
54,JP3105040004,2015,1.81,-4.9,233.43
54,JP3105040004,2016,1.6,2.63,239.36
54,JP3105040004,2017,1.37,2.56,269.47
55,JP3119600009,2014,1.34,4.09,23.87
55,JP3119600009,2015,2.41,4.12,31.6
55,JP3119600009,2016,2.31,5.2,42.41
55,JP3119600009,2017,2.08,4.32,56.98
56,JP3117700009,2014,0.46,0.47,80.27
56,JP3117700009,2015,0.55,0.33,81.99
56,JP3117700009,2016,0.45,0.4,117.22
56,JP3117700009,2017,0.58,1.45,144.36
57,JP3126400005,2014,1.11,3.16,101.84
57,JP3126400005,2015,2.69,6.61,67.05
57,JP3126400005,2016,1.59,7.08,25.16
57,JP3126400005,2017,2.07,6.15,25.88
58,JP3126340003,2014,0.91,2.18,2.36
58,JP3126340003,2015,1.12,1.92,1.8
58,JP3126340003,2016,1.27,2.83,1.94
58,JP3126340003,2017,1.07,2.47,1.67
59,JP3122800000,2014,0.83,2.39,8.17
59,JP3122800000,2015,1.13,3.34,9.34
59,JP3122800000,2016,1.02,4.91,8.19
59,JP3122800000,2017,1.12,4.79,4.19
60,JP3429800000,2014,0.99,1.27,111.89
60,JP3429800000,2015,1.48,2.12,102.7
60,JP3429800000,2016,1.24,3.83,89.11
60,JP3429800000,2017,1.18,4.77,79.41
61,JP3106200003,2014,0.63,3.84,17.42
61,JP3106200003,2015,1.09,3.74,18.35
61,JP3106200003,2016,0.91,3.25,37.15
61,JP3106200003,2017,0.89,3.01,37.28
62,JP3711200000,2014,0.85,0.91,144.52
62,JP3711200000,2015,1.39,0.94,212.22
62,JP3711200000,2016,1.04,0.97,203.05
62,JP3711200000,2017,1.1,1.03,220.58
63,JP3768600003,2014,1.46,6.15,141.81
63,JP3768600003,2015,2.31,6.56,89.17
63,JP3768600003,2016,1.5,9.87,94.48
63,JP3768600003,2017,1.42,9.81,59.64
64,JP3110650003,2014,4.61,11.07,38.58
64,JP3110650003,2015,7.58,12.49,29.79
64,JP3110650003,2016,11.45,13.71,29.38
64,JP3110650003,2017,7.54,13.67,19.76
65,JP3116000005,2014,1.51,3.83,56.14
65,JP3116000005,2015,2.13,4.13,53.53
65,JP3116000005,2016,1.98,4.75,71.28
65,JP3116000005,2017,1.79,5.39,112.21
66,JP3389900006,2014,0.86,9.1,11.43
66,JP3389900006,2015,1.09,12.12,8.17
66,JP3389900006,2016,0.69,7.56,3.01
66,JP3389900006,2017,0.79,4.92,2.08
67,JP3172500005,2014,1.02,4.89,5.69
67,JP3172500005,2015,1.25,2.41,4.96
67,JP3172500005,2016,1.1,2.41,4.8
67,JP3172500005,2017,1.15,1.71,6.52
68,JP3659200004,2014,0.67,1.75,43.45
68,JP3659200004,2015,0.83,2.57,36.54
68,JP3659200004,2016,0.77,4.11,34.68
68,JP3659200004,2017,0.9,5.3,25.6
69,JP3937200008,2014,1.08,3.2,13.69
69,JP3937200008,2015,1.5,2.89,12.29
69,JP3937200008,2016,1.37,3.25,9.95
