No,ISIN CODE,Year,PRICE TO BOOK VAL,RETURN ON ASSETS,TOTAL DEBT % COMMON EQUITY
308,JP3732200005,2014,0.68,4.49,0.5
308,JP3732200005,2015,0.97,4.37,4.93
308,JP3732200005,2016,0.77,4.9,4.21
308,JP3732200005,2017,0.67,5.1,3.78
309,JP3733000008,2014,0.92,1.59,82.64
309,JP3733000008,2015,1.36,2.56,63.23
309,JP3733000008,2016,0.74,3.18,60.72
309,JP3733000008,2017,0.82,1.33,54.66
310,JP3165000005,2014,1.39,0.56,37.71
310,JP3165000005,2015,2.07,0.58,18.85
310,JP3165000005,2016,1.27,1.61,27.01
310,JP3165000005,2017,1.7,1.57,80.14
311,JP3762600009,2014,0.83,1.51,1059.27
311,JP3762600009,2015,1.08,1.72,914.39
311,JP3762600009,2016,0.59,1.57,942.71
311,JP3762600009,2017,0.83,1.64,962.26
312,JP3689050007,2014,6.96,27.56,0.92
312,JP3689050007,2015,10.6,25.92,0.74
312,JP3689050007,2016,16.72,26.41,0.6
312,JP3689050007,2017,7.66,27.53,27.98
313,JP3762800005,2014,1.67,7.14,16.61
313,JP3762800005,2015,2.47,7.37,16.57
313,JP3762800005,2016,2.16,7.05,15.48
313,JP3762800005,2017,2.36,7.24,13.34
314,JP3756600007,2014,1.15,-1.73,0
314,JP3756600007,2015,2.26,3.23,0
314,JP3756600007,2016,1.57,1.28,0
314,JP3756600007,2017,2.76,7.64,0
315,JP3661800007,2014,0.5,2.48,6.11
315,JP3661800007,2015,0.77,1.66,3.29
315,JP3661800007,2016,0.55,-0.4,3.1
315,JP3661800007,2017,0.72,1.9,2.72
316,JP3723000000,2014,0.67,3.72,39
316,JP3723000000,2015,0.82,3.09,35.83
316,JP3723000000,2016,0.93,3.43,35.93
316,JP3723000000,2017,0.91,3.67,27.73
317,JP3721600009,2014,0.46,2.17,184.38
317,JP3721600009,2015,0.55,2.01,150.98
317,JP3721600009,2016,0.52,0.48,167.05
317,JP3721600009,2017,0.57,0.83,158.02
318,JP3047550003,2014,1.58,3.42,61.14
318,JP3047550003,2015,1.8,3.27,67.33
318,JP3047550003,2016,1.75,3.39,66.81
318,JP3047550003,2017,1.59,4.17,62.03
319,JP3749400002,2014,0.98,10.64,9.08
319,JP3749400002,2015,2.72,32.09,4.07
319,JP3749400002,2016,2.05,5.73,8.44
319,JP3749400002,2017,2.6,4.35,12.57
320,JP3672400003,2014,0.78,3.05,130.21
320,JP3672400003,2015,1.12,3.04,137.93
320,JP3672400003,2016,0.84,3.18,148.28
320,JP3672400003,2017,0.79,3.8,159.76
321,JP3762900003,2014,0.9,2.48,173.36
321,JP3762900003,2015,1.1,3.4,156.18
321,JP3762900003,2016,0.75,3.72,161.95
321,JP3762900003,2017,0.91,3.42,167.88
322,JP3048110005,2016,1.27,,85.5
322,JP3048110005,2017,1.25,2.66,87.8
323,JP3673600007,2014,0.85,0.64,305.71
323,JP3673600007,2015,1.22,2.32,242.15
323,JP3673600007,2016,1.24,3.31,248.36
323,JP3673600007,2017,1.44,1.89,277.14
324,JP3720800006,2014,1.31,3.64,88.1
324,JP3720800006,2015,2.34,6.19,71.76
324,JP3720800006,2016,1.09,6.55,61.42
324,JP3720800006,2017,1.36,4.8,58.19
325,JP3381000003,2014,0.84,3.72,86.68
325,JP3381000003,2015,1.03,3.2,66.31
325,JP3381000003,2016,0.67,2.35,72.36
325,JP3381000003,2017,0.68,2.14,71.37
326,JP3165600002,2014,0.76,-1.24,192.29
326,JP3165600002,2015,1.68,3.15,146.93
326,JP3165600002,2016,0.84,2.19,140.66
326,JP3165600002,2017,1.05,0.52,140.81
327,JP3756100008,2014,1.75,12.81,4.34
327,JP3756100008,2015,3.21,11.48,3.03
327,JP3756100008,2016,2.96,11.53,1.46
327,JP3756100008,2017,4.06,13.39,0.8
328,JP3735400008,2014,0.7,3.2,49.71
328,JP3735400008,2015,1.01,2.75,51.19
328,JP3735400008,2016,1.07,3.8,47.49
328,JP3735400008,2017,1.09,4.05,45.49
329,JP3694400007,2014,1.16,7.15,13.08
329,JP3694400007,2015,1.33,6.16,9.13
329,JP3694400007,2016,0.96,6.47,11.39
329,JP3694400007,2017,1.29,5.77,8.28
330,JP3940400009,2014,0.67,3.48,2.18
330,JP3940400009,2015,0.67,4.1,1.4
330,JP3940400009,2016,0.59,4.29,0.59
330,JP3940400009,2017,0.61,3.26,0.01
332,JP3758190007,2014,1.14,6.99,10.7
332,JP3758190007,2015,1.98,12.98,1.18
332,JP3758190007,2016,2.17,4.7,0.68
332,JP3758190007,2017,1.96,11.69,0.86
333,JP3753000003,2014,0.61,1.87,174.24
333,JP3753000003,2015,0.83,2.29,137.05
333,JP3753000003,2016,0.67,1.05,122.94
333,JP3753000003,2017,0.64,-11.7,182.71
334,JP3190000004,2014,0.85,1.37,103.93
334,JP3190000004,2015,1.12,1.6,80.97
334,JP3190000004,2016,1.37,3.31,67.15
334,JP3190000004,2017,1.28,4.85,46.04
335,JP3027670003,2014,1.52,2.83,80.15
335,JP3027670003,2015,1.54,2.65,78.31
335,JP3027670003,2016,1.75,2.89,80.47
335,JP3027670003,2017,1.61,3.09,76.81
336,JP3173400007,2014,1.84,11.83,0
336,JP3173400007,2015,2.84,11.63,0
336,JP3173400007,2016,2.93,13.19,0
336,JP3173400007,2017,2.92,12.4,0
337,JP3449020001,2014,1.56,4.15,201.99
337,JP3449020001,2015,1.45,4.9,149.2
337,JP3449020001,2016,0.95,4.07,139.69
337,JP3449020001,2017,1.09,5.24,108.21
338,JP3292200007,2014,1.05,2.46,62.78
338,JP3292200007,2015,1.62,4.13,48.36
338,JP3292200007,2016,1.03,4.66,42.14
338,JP3292200007,2017,1.11,4.62,38.54
339,JP3194800003,2014,0.58,1.66,9.96
339,JP3194800003,2015,0.8,2.03,13.44
339,JP3194800003,2016,0.8,3.33,14.65
339,JP3194800003,2017,0.87,4.95,9.33
340,JP3940000007,2014,1.59,3.6,19.56
340,JP3940000007,2015,1.9,3.65,23.94
340,JP3940000007,2016,1.69,3.74,32.42
340,JP3940000007,2017,1.69,1.7,33.04
341,JP3174410005,2014,0.63,2.18,139.2
341,JP3174410005,2015,0.89,1.17,131.36
341,JP3174410005,2016,0.66,1.03,131.49
341,JP3174410005,2017,0.82,2.13,106.77
342,JP3194000000,2014,1.39,7.76,215.04
342,JP3194000000,2015,2.11,8.24,95.48
342,JP3194000000,2016,1.44,1.76,121.95
342,JP3194000000,2017,1.44,1.37,99.7
343,JP3201200007,2014,2.91,2.35,128.64
343,JP3201200007,2015,3.82,0.02,102.23
343,JP3201200007,2016,3.46,6.75,86.63
343,JP3201200007,2017,3.2,8.74,69.1
344,JP3792600003,2014,1.72,9.84,47.22
344,JP3792600003,2015,2.23,7.5,40.16
344,JP3792600003,2016,1.37,6.28,37.05
344,JP3792600003,2017,1.51,4.63,41.95
345,JP3197800000,2014,1.51,7.85,0.11
345,JP3197800000,2015,2.64,9.29,0
345,JP3197800000,2016,1.56,6.92,0
345,JP3197800000,2017,1.85,6.87,0.03
346,JP3180400008,2014,0.9,2.87,71.81
346,JP3180400008,2015,1.15,4.69,71.36
346,JP3180400008,2016,0.9,4.94,62.57
346,JP3180400008,2017,0.87,3.65,56.26
347,JP3689500001,2014,6.2,18.73,0
347,JP3689500001,2015,6.26,17.67,0
347,JP3689500001,2016,5.47,16.3,0
347,JP3689500001,2017,8.19,17.25,0
348,JP3198900007,2014,2.36,10.82,11.84
348,JP3198900007,2015,4.5,10.27,10.25
348,JP3198900007,2016,3.66,9.53,9.14
348,JP3198900007,2017,3.22,9.95,9.05
349,JP3200450009,2014,0.93,4.38,217.25
349,JP3200450009,2015,1.1,4.54,205.27
349,JP3200450009,2016,0.8,4.28,185.7
349,JP3200450009,2017,0.82,4.34,165.03
350,JP3040880001,2014,1.19,2.82,97.68
350,JP3040880001,2015,1.53,3.16,94.26
350,JP3040880001,2016,1.48,3.16,92.84
350,JP3040880001,2017,1.43,3.22,85.61
351,JP3283650004,2014,1.43,6.47,1.11
351,JP3283650004,2015,3.17,6.32,0.89
351,JP3283650004,2016,3.26,8.7,1.16
351,JP3283650004,2017,3.62,9.18,0.99
352,JP3183200009,2014,2.56,2.23,21.65
352,JP3183200009,2015,4.07,11.48,13.79
352,JP3183200009,2016,3.25,13.91,12.64
352,JP3183200009,2017,3.24,12.19,20.33
353,JP3188220002,2014,0.96,9.94,6.17
353,JP3188220002,2015,1.28,3.69,19.42
353,JP3188220002,2016,1.44,3.81,16.39
353,JP3188220002,2017,1.54,4.7,13.93
354,JP3188200004,2014,2.39,8.07,5.87
354,JP3188200004,2015,3.32,7.58,5.39
354,JP3188200004,2016,2.74,8.05,4.74
354,JP3188200004,2017,3,8.77,4.17
355,JP3657400002,2014,1.08,5.26,23.25
355,JP3657400002,2015,1.1,2,20.2
355,JP3657400002,2016,1.13,2.43,20.87
355,JP3657400002,2017,1.18,0.6,25.69
356,JP3172100004,2014,1.16,4.75,19.29
356,JP3172100004,2015,1.68,6.16,14.09
356,JP3172100004,2016,0.93,6.86,9.73
356,JP3172100004,2017,1.06,4.99,10.33
357,JP3405400007,2014,0.74,2.87,34.69
357,JP3405400007,2015,1.29,3.45,25.23
357,JP3405400007,2016,0.81,4.44,20.48
357,JP3405400007,2017,0.98,4.45,17.54
358,JP3780100008,2014,4.31,8.07,77.19
358,JP3780100008,2015,5.1,8.33,77.73
358,JP3780100008,2016,6.51,9.46,66.79
358,JP3780100008,2017,5.79,6.72,155.12
359,JP3320800000,2014,1.07,0.07,184.88
359,JP3320800000,2015,1.17,1.17,174.6
359,JP3320800000,2016,1.43,1.72,175.08
359,JP3320800000,2017,1.44,1.92,157.49
360,JP3888300005,2014,0.61,-1.29,164.74
360,JP3888300005,2015,1.06,1.57,135.07
360,JP3888300005,2016,0.85,2.08,123.83
360,JP3888300005,2017,1.08,5.43,97.82
361,JP3836750004,2014,12.28,2.49,0
361,JP3836750004,2015,21.55,14.62,0
361,JP3836750004,2016,32.07,16.06,0
361,JP3836750004,2017,29.3,14.78,0
362,JP3284600008,2014,1.29,4.9,19.81
362,JP3284600008,2015,2.6,6.94,15.44
362,JP3284600008,2016,2.39,8.08,14.42
362,JP3284600008,2017,2.3,9.27,10.44
363,JP3771800004,2014,2.24,7.57,6.31
363,JP3771800004,2015,3.4,7.74,6.15
363,JP3771800004,2016,2.64,6.73,6.62
363,JP3771800004,2017,2.97,8.06,5.99
364,JP3801600002,2014,3.88,13.2,8.93
364,JP3801600002,2015,8.14,13.06,17.55
364,JP3801600002,2016,6.62,14.05,12.89
364,JP3801600002,2017,7.5,14.63,11.04
365,JP3170800001,2014,1.69,7.36,23.32
365,JP3170800001,2015,2.35,8.5,19.69
365,JP3170800001,2016,1.97,6.58,36.33
365,JP3170800001,2017,1.85,8.76,14.09
366,JP3855900001,2014,1.18,4.81,2.37
366,JP3855900001,2015,2.07,6.23,1.73
366,JP3855900001,2016,2.76,7.62,1.93
366,JP3855900001,2017,3.12,11.44,1.88
367,JP3627000007,2014,0.53,2.27,47.68
367,JP3627000007,2015,0.9,3.07,36.85
367,JP3627000007,2016,0.68,4,45.65
367,JP3627000007,2017,0.89,7.92,31.43
368,JP3197600004,2014,1.75,4.34,0.22
368,JP3197600004,2015,2.84,2.6,0.13
368,JP3197600004,2016,5.3,4.72,0.18
368,JP3197600004,2017,2.34,9.77,0.19
369,JP3629000005,2014,0.5,1.36,42.24
369,JP3629000005,2015,0.73,1.34,38.47
369,JP3629000005,2016,0.64,1.95,30.24
369,JP3629000005,2017,0.65,1.78,24.81
370,JP3160670000,2014,1.27,4.01,76.22
370,JP3160670000,2015,1.92,4.04,68.29
370,JP3160670000,2016,1.31,3.76,67.1
370,JP3160670000,2017,1.41,3.86,67.25
371,JP3967200001,2014,3.71,2.12,139.94
371,JP3967200001,2015,4.49,1.17,98.06
371,JP3967200001,2016,2.48,0.9,104.54
371,JP3967200001,2017,2.51,2.11,148.68
372,JP3637300009,2014,2.79,8.59,0
372,JP3637300009,2015,3.84,7.81,0
372,JP3637300009,2016,3.42,8.56,0
372,JP3637300009,2017,4.17,8.35,0
373,JP3164720009,2014,3.66,-0.1,126.24
373,JP3164720009,2015,3.83,10.54,83.91
373,JP3164720009,2016,2.5,7.71,37.44
373,JP3164720009,2017,3.09,8.39,45.05
374,JP3755200007,2014,2.65,9.28,24.44
374,JP3755200007,2015,4.75,9.67,33.3
374,JP3755200007,2016,5.9,9.41,51.13
374,JP3755200007,2017,7.49,10.17,55.13
375,JP3974450003,2014,1.81,3.18,92.9
375,JP3974450003,2015,2.95,3.53,124.09
375,JP3974450003,2016,2.2,3.37,103.37
375,JP3974450003,2017,1.76,2.77,92.23
376,JP3802300008,2014,5.24,8.05,6.07
376,JP3802300008,2015,6.81,10.38,5.06
376,JP3802300008,2016,5.11,4.22,49.34
376,JP3802300008,2017,5.21,9.48,38.47
377,JP3571400005,2014,1.73,-2.49,2.34
377,JP3571400005,2015,2.15,8.64,0
377,JP3571400005,2016,1.98,9.55,0
377,JP3571400005,2017,3.35,13.47,0
378,JP3973400009,2014,0.77,3.27,70.35
378,JP3973400009,2015,0.86,2.86,72.92
378,JP3973400009,2016,0.66,2.54,79.12
378,JP3973400009,2017,0.72,0.22,82.5
379,JP3970300004,2014,4.48,8.02,10.43
379,JP3970300004,2015,2.88,7.23,4
379,JP3970300004,2016,2.65,5.84,1.94
379,JP3970300004,2017,3.83,6.67,27.47
380,JP3977400005,2014,1.94,7.86,2.82
380,JP3977400005,2015,1.97,6.01,0.91
380,JP3977400005,2016,1.79,6.26,0.09
380,JP3977400005,2017,1.77,5.79,0.07
381,JP3269600007,2014,0.87,4.97,16.05
381,JP3269600007,2015,1.18,5.25,12.35
381,JP3269600007,2016,0.99,5.79,12.01
381,JP3269600007,2017,1.22,7.29,11.13
382,JP3822000000,2014,1.54,6.83,18
382,JP3822000000,2015,2.29,6.58,20.01
382,JP3822000000,2016,1.74,-1.82,17.81
382,JP3822000000,2017,2.38,0.17,7.65
383,JP3982800009,2014,0.77,4.46,0
383,JP3982800009,2015,1.27,5.63,0.01
383,JP3982800009,2016,0.65,3.09,0.01
383,JP3982800009,2017,1.21,3.24,0
384,JP3966800009,2014,1.11,-10.92,99.38
384,JP3966800009,2015,1.13,-3.14,87.35
384,JP3966800009,2016,1.31,0.63,82.12
384,JP3966800009,2017,1.78,3.23,71.38
385,JP3799000009,2014,1.63,7.78,0
385,JP3799000009,2015,2.15,7.42,0
385,JP3799000009,2016,1.55,6.66,0
385,JP3799000009,2017,1.6,6.66,0
386,JP3536150000,2014,1.82,8.22,0.66
386,JP3536150000,2015,2.9,8.5,0.36
386,JP3536150000,2016,3.15,7.71,5.71
386,JP3536150000,2017,3.04,8.52,4.22
387,JP3597800006,2014,1.4,2.6,234.94
387,JP3597800006,2015,1.52,2.36,224.45
387,JP3597800006,2016,1.41,2.07,214.12
387,JP3597800006,2017,1.39,2.6,192.93
388,JP3665200006,2014,0.96,3.17,79.98
388,JP3665200006,2015,1.32,3.19,72.89
388,JP3665200006,2016,1.66,4.19,62.92
388,JP3665200006,2017,2.48,5.7,56.88
389,JP3431300007,2014,2.48,14.11,0
389,JP3431300007,2015,4.46,2.08,135.65
389,JP3431300007,2016,11.14,-2.13,38.18
389,JP3431300007,2017,5.11,21.21,23.92
390,JP3326410002,2014,0.86,4.95,0
390,JP3326410002,2015,1.08,2,0.01
390,JP3326410002,2016,0.99,2.5,5.76
390,JP3326410002,2017,0.92,0.45,5.9
391,JP3344400001,2014,1.19,4.17,60.73
391,JP3344400001,2015,1.83,4.46,69.86
391,JP3344400001,2016,1.56,4.79,54.65
391,JP3344400001,2017,1.81,5.54,53.72
392,JP3336560002,2014,1.9,2.95,60.86
392,JP3336560002,2015,2.75,3.16,74.83
392,JP3336560002,2016,2.89,3.43,59.81
392,JP3336560002,2017,2.36,5.49,46.87
393,JP3401400001,2014,0.77,1.73,180.53
393,JP3401400001,2015,1.48,2.15,136.92
393,JP3401400001,2016,0.98,3.27,124.55
393,JP3401400001,2017,1.08,3.42,121.48
394,JP3420600003,2014,0.82,4.92,31.12
394,JP3420600003,2015,1.36,4.94,32.9
394,JP3420600003,2016,1.24,4.29,40.25
394,JP3420600003,2017,1.09,5.86,44.47
395,JP3417200007,2014,1.83,1.77,315.81
395,JP3417200007,2015,2.88,2.98,229.78
395,JP3417200007,2016,1.88,4.28,215.64
395,JP3417200007,2017,1.69,3.56,255.82
396,JP3271400008,2014,0.74,1.56,338.72
396,JP3271400008,2015,0.96,0.73,340.32
396,JP3271400008,2016,0.76,1.35,408.17
396,JP3271400008,2017,0.71,1.92,412.86
397,JP3414750004,2014,1.1,10.56,63.2
397,JP3414750004,2015,1.74,12.82,37.62
397,JP3414750004,2016,1.35,5.07,30.3
397,JP3414750004,2017,1.59,5.37,29.78
398,JP3132600002,2014,0.6,0.37,345.08
398,JP3132600002,2015,0.71,0.37,258.15
398,JP3132600002,2016,0.56,0.34,168.31
398,JP3132600002,2017,0.63,0.26,223.06
399,JP3419050004,2014,1.32,5.88,27.88
399,JP3419050004,2015,1.41,-1.9,35.09
399,JP3419050004,2016,0.96,1.1,45.7
399,JP3419050004,2017,1.08,5.39,34.28
400,JP3422950000,2014,1.52,4.03,46.89
400,JP3422950000,2015,1.95,3.58,43.28
400,JP3422950000,2016,1.79,3.13,45.48
400,JP3422950000,2017,1.74,1.86,46.75
401,JP3105220002,2014,2.55,2.75,88.65
401,JP3105220002,2015,3.84,2.88,74.18
401,JP3105220002,2016,2.51,2.84,67.69
401,JP3105220002,2017,2.21,2.73,65.34
402,JP3436120004,2014,0.64,1.23,201.45
402,JP3436120004,2015,1.01,1.9,174.32
402,JP3436120004,2016,0.67,1.48,181.38
402,JP3436120004,2017,0.75,1.27,244.53
403,JP3436100006,2014,2.84,5.92,468.97
403,JP3436100006,2015,3.18,4.76,407.8
403,JP3436100006,2016,1.85,3.49,456.17
403,JP3436100006,2017,1.76,8.46,414.3
404,JP3686800008,2014,0.63,-0.19,273.84
404,JP3686800008,2015,1.05,1.23,248.73
404,JP3686800008,2016,0.94,-3.77,415.49
404,JP3686800008,2017,0.85,1.84,471.08
405,JP3162770006,2014,2.13,3.45,118.45
405,JP3162770006,2015,2.63,4.86,98.26
405,JP3162770006,2016,2.11,6.38,72.35
405,JP3162770006,2017,3.21,5.03,57.33
406,JP3359600008,2014,14.8,0.82,555.32
406,JP3359600008,2015,-1.05,-9.61,3229.72
406,JP3359600008,2016,7.34,-13.49,-272.72
406,JP3359600008,2017,11.31,-1.11,698.25
407,JP3729000004,2014,0.76,0.61,220.1
407,JP3729000004,2015,0.84,0.89,198.88
407,JP3729000004,2016,0.54,0.8,156.95
407,JP3729000004,2017,0.55,0.64,183.85
408,JP3351600006,2014,1.72,3.71,45.92
408,JP3351600006,2015,2.5,3.87,22.06
408,JP3351600006,2016,2.82,3.89,30.62
408,JP3351600006,2017,3.32,2.56,33.14
409,JP3358200008,2014,1.32,8.77,2.15
409,JP3358200008,2015,1.53,7.26,1.39
409,JP3358200008,2016,1.59,7.25,0.69
409,JP3358200008,2017,1.66,8.99,0.03
410,JP3358000002,2014,2.84,14.43,3.99
410,JP3358000002,2015,4.38,18.56,2.91
410,JP3358000002,2016,3.91,11.73,2.5
410,JP3358000002,2017,3.83,8.31,2.2
411,JP3398000004,2014,0.83,2.1,0.67
411,JP3398000004,2015,0.99,1.79,1.03
411,JP3398000004,2016,0.85,2.56,0.55
411,JP3398000004,2017,0.83,1.87,0.72
412,JP3350800003,2014,0.91,0.49,262.67
412,JP3350800003,2015,1.34,1.09,240.51
412,JP3350800003,2016,0.86,1.21,256.1
412,JP3350800003,2017,0.91,1.34,237.66
413,JP3329600005,2014,1.4,3.69,165.39
413,JP3329600005,2015,1.97,4.75,142.3
413,JP3329600005,2016,0.68,0.13,176
413,JP3329600005,2017,1.01,1.09,167.33
414,JP3914400001,2014,1.61,8.2,5.98
414,JP3914400001,2015,3.38,13.15,2.3
414,JP3914400001,2016,1.98,14.59,0.96
414,JP3914400001,2017,2.3,10.43,3.47
415,JP3162600005,2014,1.78,9.58,8.52
415,JP3162600005,2015,2.54,10.48,8.29
415,JP3162600005,2016,1.77,8.19,5.84
415,JP3162600005,2017,1.94,9.78,2.25
416,JP3890350006,2014,0.59,0.62,408.45
416,JP3890350006,2015,0.82,0.52,413.9
416,JP3890350006,2016,0.5,0.45,339.72
416,JP3890350006,2017,0.55,0.47,375.68
418,JP3435750009,2014,9.83,20.7,0
418,JP3435750009,2015,14,18.09,0
418,JP3435750009,2016,15.71,18.95,0.11
418,JP3435750009,2017,12.07,19.13,0
419,JP3435000009,2014,0.82,-0.72,57.32
419,JP3435000009,2015,2,-0.66,40.29
419,JP3435000009,2016,1.47,1.02,36.27
419,JP3435000009,2017,1.68,0.47,48.03
420,JP3732000009,2014,,8.94,372.33
420,JP3732000009,2015,6.05,8.52,263.77
420,JP3732000009,2016,4.26,5.77,139.68
420,JP3732000009,2017,4.05,10.18,130.82
421,JP3375800004,2014,0.78,5.42,0.55
421,JP3375800004,2015,1.08,3.66,0.56
421,JP3375800004,2016,0.63,1.96,0.61
421,JP3375800004,2017,0.86,1.71,0.57
422,JP3431900004,2014,1.34,3.67,45.27
422,JP3431900004,2015,2.43,4,40.73
422,JP3431900004,2016,2.71,5.17,26.02
422,JP3431900004,2017,2.35,5.32,33.36
423,JP3347200002,2014,1.28,7.4,6.42
423,JP3347200002,2015,3,7.57,6.5
423,JP3347200002,2016,3.72,10.86,6.02
423,JP3347200002,2017,3.2,12.88,5.84
424,JP3343200006,2014,4.17,12.43,42.95
424,JP3343200006,2015,5.13,11.15,39.36
424,JP3343200006,2016,3.33,8.88,38.51
424,JP3343200006,2017,3.32,6.68,41.77
425,JP3352000008,2014,0.37,0.18,31.81
425,JP3352000008,2015,0.58,0.2,28.69
425,JP3352000008,2016,0.3,0.19,5.83
425,JP3352000008,2017,0.38,0.19,47.38
426,JP3399400005,2014,1.2,6.62,8.06
426,JP3399400005,2015,1.64,6.06,7.55
426,JP3399400005,2016,1.21,5.86,7.31
426,JP3399400005,2017,1.57,6.51,6.27
427,JP3399310006,2014,9.59,27.91,0
427,JP3399310006,2015,20.21,24.63,0
427,JP3399310006,2016,17.16,32.04,0.06
427,JP3399310006,2017,21.67,38.54,0
428,JP3407400005,2014,0.73,2.96,44.94
428,JP3407400005,2015,1.09,4.59,38.49
428,JP3407400005,2016,0.82,3.36,33.6
428,JP3407400005,2017,0.92,3.97,36.1
429,JP3400400002,2014,1.97,6.32,51.7
429,JP3400400002,2015,2.55,5.16,43.59
429,JP3400400002,2016,2.5,8.37,36.02
429,JP3400400002,2017,2.62,8.15,37.53
430,JP3411000007,2014,1.36,0.7,1.16
430,JP3411000007,2015,2.08,0.79,0.87
430,JP3411000007,2016,1.51,0.85,0.71
430,JP3411000007,2017,1.66,0.96,0.47
431,JP3404200002,2014,0.87,6.15,71.54
431,JP3404200002,2015,1.3,6.19,61.49
431,JP3404200002,2016,0.95,4.84,47.59
431,JP3404200002,2017,1.08,5.36,59.47
432,JP3407200009,2014,1.75,-2.03,144.19
432,JP3407200009,2015,2.95,2.69,113.3
432,JP3407200009,2016,1.41,-9.18,132.43
432,JP3407200009,2017,1.69,0.81,141.58
433,JP3368000000,2014,0.62,0.5,146.49
433,JP3368000000,2015,0.8,0.52,141.2
433,JP3368000000,2016,0.54,1.6,134.91
433,JP3368000000,2017,0.88,3.68,111.2
434,JP3358800005,2014,0.99,1.08,92.62
434,JP3358800005,2015,1.52,2.21,78.88
434,JP3358800005,2016,1.35,3.58,81.84
434,JP3358800005,2017,1.34,5.93,59.6
435,JP3463000004,2014,1.65,2.67,35.51
435,JP3463000004,2015,2.41,-3.29,35.04
435,JP3463000004,2016,1.93,2.15,42.19
435,JP3463000004,2017,2.23,3.07,63.54
436,JP3539220008,2014,1.21,0.59,29.46
436,JP3539220008,2015,1.62,0.67,19.68
436,JP3539220008,2016,0.86,0.5,16.58
436,JP3539220008,2017,1.21,0.51,15.82
437,JP3442850008,2014,0.91,4.7,0.13
437,JP3442850008,2015,1.13,3.31,0.1
437,JP3442850008,2016,1.2,2.97,0.06
437,JP3442850008,2017,1.05,3.8,0.05
438,JP3443600006,2014,1.13,2.28,83.17
438,JP3443600006,2015,1.54,2.43,56.04
438,JP3443600006,2016,1.61,4.65,49.34
438,JP3443600006,2017,1.57,5.38,42
439,JP3538800008,2014,0.7,1.55,42.03
439,JP3538800008,2015,1.74,3.98,36.32
439,JP3538800008,2016,0.99,4.8,49.72
439,JP3538800008,2017,1.05,9.68,42.1
440,JP3585800000,2014,0.57,3.67,1393.15
440,JP3585800000,2015,0.74,3.76,657.81
440,JP3585800000,2016,0.63,1.49,557.65
440,JP3585800000,2017,0.45,1.55,453.11
441,JP3546800008,2014,1.31,4.4,32.76
441,JP3546800008,2015,2.06,4.31,39.41
441,JP3546800008,2016,3.15,5.46,42.98
441,JP3546800008,2017,2.78,5.76,69.33
442,JP3569200003,2014,1.21,1.89,274.18
442,JP3569200003,2015,1.36,1.69,286.91
442,JP3569200003,2016,1.01,1.76,267.47
442,JP3569200003,2017,0.85,1.85,260.33
443,JP3588600001,2014,0.41,1.82,21.42
443,JP3588600001,2015,0.65,2.19,12.99
443,JP3588600001,2016,0.56,2.31,12.35
443,JP3588600001,2017,0.57,2.43,4.9
444,JP3539250005,2014,1.07,5.14,27.66
444,JP3539250005,2015,1.48,6.5,24.47
444,JP3539250005,2016,0.93,3.56,34.75
444,JP3539250005,2017,1.35,8.27,25.84
445,JP3600200004,2014,1,2.51,66.59
445,JP3600200004,2015,1.47,3.9,52.75
445,JP3600200004,2016,1.38,8.19,44.59
445,JP3600200004,2017,1.34,3.48,37.32
446,JP3566600007,2014,0.65,5.4,6.25
446,JP3566600007,2015,1.33,5.56,2.38
446,JP3566600007,2016,0.89,1.54,1.73
446,JP3566600007,2017,0.86,-1.17,1.19
447,JP3104890003,2014,0.74,2.73,41.55
447,JP3104890003,2015,1.26,3.27,32.96
447,JP3104890003,2016,1.15,3.87,31.42
447,JP3104890003,2017,1.2,5,22.21
448,JP3544000007,2014,0.77,1.29,99.8
448,JP3544000007,2015,1.42,-0.63,107.16
448,JP3544000007,2016,1.12,3.98,100.78
448,JP3544000007,2017,1.04,5.91,110.75
449,JP3456000003,2014,0.88,2.31,47.51
449,JP3456000003,2015,1.05,2.48,41.33
449,JP3456000003,2016,0.65,2.51,39.24
449,JP3456000003,2017,0.83,2.19,38
450,JP3579800008,2014,0.85,1.76,41.12
450,JP3579800008,2015,1.28,7.28,24.16
450,JP3579800008,2016,0.85,13.58,10.87
450,JP3579800008,2017,1.04,7.76,1.46
451,JP3547670004,2014,2.06,7.39,44.99
451,JP3547670004,2015,2.68,6.71,49.46
451,JP3547670004,2016,2.83,7.56,24.73
451,JP3547670004,2017,3.6,7.14,18.46
452,JP3711600001,2014,1.19,3.37,101.37
452,JP3711600001,2015,2.08,3.05,83.93
452,JP3711600001,2016,1.29,3.65,87.54
452,JP3711600001,2017,1.29,4.46,102.35
453,JP3351100007,2014,4.15,10.74,1.34
453,JP3351100007,2015,7.66,11.63,0.42
453,JP3351100007,2016,7.63,14.08,0.72
453,JP3351100007,2017,5.4,15.3,0
454,JP3619800000,2014,0.91,2.12,119.96
454,JP3619800000,2015,1.09,2.1,112.09
454,JP3619800000,2016,1.09,2.53,105.38
454,JP3619800000,2017,0.92,2.38,100.87
455,JP3598600009,2014,1.41,5.15,1.5
455,JP3598600009,2015,2.08,6.28,1.36
455,JP3598600009,2016,1.72,6.77,1.29
455,JP3598600009,2017,1.72,8.25,1.17
456,JP3602600003,2014,0.83,1.86,23.58
456,JP3602600003,2015,0.97,2.33,25.24
