No,ISIN CODE,Year,NET CASH FLOW - FINANCING,INCREASE/DECREASE IN CASH/SHOR,NET CASH FLOW - INVESTING,NET CASH FLOW-OPERATING ACTIVS,"PROPERTY, PLANT & EQUIP - NET",CASH DIVIDENDS PAID - TOTAL,CASH & SHORT TERM INVESTMENTS,CASH,TOTAL DEBT,TOTAL CAPITAL,MARKET VALUE,TOTAL SHAREHOLDERS EQUITY,WORKING CAPITAL,TOTAL ASSETS,RETAINED EARNINGS,EARNINGS BEF INTEREST & TAXES,TOTAL LIABILITIES,NET SALES OR REVENUES,FREE CASH FLOW,CASH - GENERIC,BOOK VALUE PER SHARE,OPERATING INCOME,DEPRECIATION,AMORT & IMPAIR OF GOODWILL,AMORTIZATION OF DEFERRED CHARG,AMORTIZATION-INTANGIBLE ASSETS,AMORTIZATION OF INTANGIBLES,DEPRECIATION/DEPLETION/AMORT,SALARIES & BENEFITS EXPENSES,Salaries and Wages from CSR reporting,RESEARCH & DEVELOPMENT
53,JP3112000009,2021,-252259000,-40294000,123787000,326713000,1323868000,31045000,195830000,195830000,603193000,1959154000,1332805,1314161000,315863000,2638420000,927830000,216469000,1157040000,1697383000,305594000,195830000,5921.678,197577000,155486000,,1000,11270000,11269000,166756000,335558000,,49444000
53,JP3112000009,2022,-78206000,13885000,145312000,217146000,1350769000,52162000,209716000,209716000,650241000,2043827000,983682.9,1390255000,393010000,2773251000,889827000,67552000,1187661000,2035874000,249325000,209716000,6260.79,179562000,173331000,,1000,12325000,12324000,185656000,375381000,,52252000
53,JP3112000009,2023,-108021000,-63654000,179790000,212547000,1457950000,45982000,146061000,146061000,695008000,2099899000,1128267,1447080000,324580000,2893314000,872547000,140617000,1238976000,2019254000,205284000,146061000,6820.107,123573000,164705000,,0,10641000,10641000,175346000,410275000,,57342000
53,JP3112000009,2024,,,,,,,,,,,1053688,,,,,,,,260256000,,,,,,,,,,,,
54,JP3105040004,2014,-50954000,5678000,-1524000,55067000,17108000,0,67705000,66880000,253952000,321406000,228134.8,133542000,,577339000,-171240000,36955000,443798000,91826000,23412000,67705000,277.66,22463000,3761000,-2523000,,-2523000,-2523000,1238000,10961000,,
54,JP3105040004,2015,-26588000,-14290000,6385000,18504000,17678000,0,53278000,52590000,227537000,240720000,222986.3,97475000,,560323000,-207414000,-27247000,462848000,86677000,-4651000,53278000,201.983,-39278000,2753000,0,,,,2753000,10889000,,
54,JP3105040004,2016,22002000,-12679000,3043000,-31626000,17690000,0,40456000,39910000,249530000,263351000,153624.2,104250000,,567514000,-49773000,14640000,463264000,87708000,-52438000,40456000,215.893,6676000,,,,,,2362000,11164000,,
54,JP3105040004,2017,51054000,-6345000,6192000,-51221000,17664000,0,34338000,33644000,300857000,303972000,181247.9,111649000,,616651000,-42422000,15429000,505002000,91450000,-61727000,34338000,230.822,7009000,,,,,,2338000,11597000,,
54,JP3105040004,2018,67560000,-4237000,3546000,-68495000,18133000,0,30267000,29327000,366782000,347782000,147324.5,114450000,,682645000,-39974000,11088000,563238000,115389000,-64248000,30267000,236.612,2483000,,,,,,2384000,12855000,,
54,JP3105040004,2019,52657000,6784000,4219000,-41765000,16758000,0,37321000,36112000,419373000,354440000,122124.2,124275000,,754533000,-30255000,11375000,626517000,115786000,-43175000,37321000,256.924,2779000,,,,,,2653000,13474000,,
54,JP3105040004,2020,55356000,7414000,2718000,-44506000,19698000,0,44975000,43524000,479908000,362645000,156047.7,126017000,,853795000,20232000,9096000,724864000,127038000,14287000,44975000,260.526,1410000,,,,,,3017000,13772000,,
54,JP3105040004,2021,-18813000,-7574000,9274000,20281000,17765000,0,42651000,40950000,460869000,345538000,186578.7,145556000,,854533000,38669000,25400000,706841000,127848000,-10245000,42651000,300.92,17847000,,,,,,3418000,13855000,,
54,JP3105040004,2022,21028000,3201000,2218000,-15629000,16908000,483000,46760000,44448000,483025000,355344000,193848,153900000,,923043000,47560000,19306000,766517000,132097000,-47932000,46760000,318.171,11239000,,,,,,3417000,13876000,,
54,JP3105040004,2023,78195000,-1261000,8947000,-70588000,16238000,483000,45791000,43251000,563002000,474374000,182217.1,176073000,,1055473000,69419000,31027000,875880000,144136000,-70025000,45791000,364.011,23238000,,,,,,3599000,14304000,,
54,JP3105040004,2024,100929000,14048000,12762000,-74208000,17092000,483000,59906000,56917000,665610000,500312000,157016.9,197910000,,1246162000,90345000,28739000,1044750000,163108000,-85071000,59906000,409.043,20411000,,,,,,3913000,18705000,,
55,JP3119600009,2014,-55248000,-54742000,63497000,63045000,359370000,12437000,132709000,132416000,142978000,765135000,1286433,598926000,316660000,1079979000,505921000,75334000,420492000,991332000,101632000,132709000,1008.984,62548000,,1589000,36059000,,,47335000,66868000,,31962000
55,JP3119600009,2015,52822000,35130000,140391000,110628000,383269000,11855000,168902000,168294000,211613000,818649000,1638657,669576000,249325000,1251104000,536170000,81189000,507615000,1006630000,111615000,168902000,1131.409,74519000,,2201000,33848000,,,45577000,72327000,,32228000
55,JP3119600009,2016,-3288000,52633000,53824000,123925000,386201000,15982000,221242000,221242000,264731000,942765000,1342734,624246000,392485000,1258334000,582824000,102587000,562032000,1185980000,66453000,221242000,1074.363,91045000,,7093000,,,,58013000,82564000,,32594000
55,JP3119600009,2017,14738000,-18484000,142299000,108908000,393441000,17242000,197050000,186003000,350547000,1003183000,1320146,615213000,312651000,1341856000,584849000,90900000,652285000,1091195000,137696000,197050000,1080.964,78433000,39523000,,3000,6750000,6747000,46273000,106209000,,24933000
55,JP3119600009,2018,-23951000,1865000,99104000,126654000,412613000,17065000,198484000,187869000,345191000,1037594000,1037369,640458000,323874000,1412779000,629582000,88487000,693220000,1150209000,113865000,198484000,1127.781,86765000,44091000,,3000,7692000,7689000,51783000,213160000,,25509000
