no,year,icbcode,gap,gap_e,gap_s,es,e,s,esdis,edis,sdis,family,gov,instit,g,size,lev,roa,mtb,country,capitalism,legal,kz
1,2014,4510,0,0,0,27,25,30,11,8,14,1,0,0,14,10,0,0,0,2,1,1,
1,2015,4510,0,0,0,31,29,33,11,8,14,1,0,0,12,10,1,0,0,2,1,1,0.411
1,2016,4510,0,0,0,40,33,46,13,13,14,1,0,0,13,10,0,0,0,2,1,1,0.32
1,2017,4510,0,0,0,40,34,46,14,13,16,1,0,0,11,10,0,0,0,2,1,1,-1.145
1,2018,4510,0,0,0,36,29,44,15,15,16,1,0,0,11,10,0,0,0,2,1,1,-0.693
1,2019,4510,0,0,0,46,45,46,15,15,16,1,0,0,12,10,0,0,0,2,1,1,0.258
1,2020,4510,0,0,0,44,42,46,30,39,22,1,0,0,15,10,0,0,0,2,1,1,0.569
1,2021,4510,0,0,0,50,54,47,32,41,24,1,0,0,26,10,0,0,0,2,1,1,0.013
1,2022,4510,0,0,0,51,55,47,41,52,30,1,0,0,20,10,0,0,0,2,1,1,-0.693
1,2023,4510,0,0,0,52,57,46,44,54,34,1,0,0,29,10,0,0,0,2,1,1,-0.661
2,2019,4040,0,0,0,18,19,17,5,0,11,1,0,0,20,10,0,0,0,2,1,1,-4.156
2,2020,4040,0,0,0,38,45,31,16,11,21,1,0,0,21,10,0,0,0,2,1,1,-2.402
2,2021,4040,0,0,0,33,39,27,16,11,21,1,0,0,22,10,0,0,0,2,1,1,-3.163
2,2022,4040,0,0,0,24,22,26,16,11,22,1,0,0,17,10,0,0,0,2,1,1,-2.128
2,2023,4040,0,0,0,0,0,0,26,30,23,1,0,0,0,10,0,0,0,2,1,1,-3.084
3,2014,6010,0,0,0,23,16,30,5,2,7,1,0,0,30,11,1,0,0,2,1,1,
3,2015,6010,0,0,0,38,46,30,4,2,5,1,0,0,47,11,0,0,0,2,1,1,0.986
3,2016,6010,0,0,0,24,27,22,5,3,8,1,0,0,46,11,0,0,0,2,1,1,0.628
3,2017,6010,0,0,0,25,31,20,10,3,18,1,0,0,34,11,0,0,0,2,1,1,0.26
3,2018,6010,0,0,0,39,46,33,9,3,16,1,0,0,32,11,0,0,0,2,1,1,-0.625
3,2019,6010,0,0,0,59,64,54,20,22,18,1,0,0,35,11,0,0,0,2,1,1,0.125
3,2020,6010,0,0,0,59,64,55,43,55,31,1,0,0,69,11,0,0,0,2,1,1,-0.483
3,2021,6010,0,0,0,64,76,53,47,59,35,1,0,0,69,11,0,0,0,2,1,1,-0.253
3,2022,6010,0,0,0,70,79,61,45,59,32,1,0,0,45,11,0,0,0,2,1,1,-4.022
3,2023,6010,0,0,0,68,74,62,46,56,36,1,0,0,42,11,0,0,0,2,1,1,-3.503
4,2015,6010,0,0,0,26,24,28,7,2,11,1,0,0,20,10,1,0,0,2,1,1,0.319
