Variable,Model 1,Model 2,Model 3
Family,-0.0031,-0.0100,0.0036
,(-0.39),(-1.00),(0.41)
Gov,0.0097,0.0235,-0.0036
,(0.74),(1.43),(-0.26)
G,-0.0035***,-0.0029***,-0.0042***
,(-31.18),(-20.31),(-34.52)
Size,-0.0187***,-0.0144***,-0.0231***
,(-10.02),(-6.18),(-11.46)
Lev,0.0002,-0.0000,0.0004
,(0.31),(-0.02),(0.62)
ROA,0.0325,0.0481,0.0173
,(1.13),(1.34),(0.56)
MTB,-0.0526,-0.0351,-0.0722
,(-1.28),(-0.69),(-1.64)
KZ,0.0005,-0.0008,0.0017***
,(0.81),(-1.12),(2.75)
Board Size,-0.0078***,-0.0072***,-0.0083***
,(-15.90),(-11.87),(-15.85)
CEO Duality,-0.0019,-0.0015,-0.0020
,(-0.39),(-0.24),(-0.37)
CSR Committee,-0.0934***,-0.0778***,-0.1088***
,(-19.06),(-12.76),(-20.65)
G*Family,0.0002,0.0002,0.0003
,(1.45),(0.95),(1.64)
G*Gov,0.0002,-0.0002,0.0005**
,(0.63),(-0.77),(2.03)
Year,Y,Y,Y
,,,
Industry,Y,Y,Y
,,,
_cons,0.2725***,0.2756***,0.2683***
,(10.43),(8.48),(9.55)
adj. R-sq,0.427,0.310,0.447
