Outcome,Family_PSM,Gov_PSM
GAP,0.0060,0.0073
,(1.50),(0.91)
GAP_E,-0.0023,0.0061
,(-0.46),(0.63)
GAP_S,0.0145***,0.0080
,(3.39),(0.92)
N,7186.0,2040.0
