no,year,icbcode,gap,gap_e,gap_s,es,e,s,esdis,edis,sdis,family,gov,instit,g,size,lev,roa,mtb,country,capitalism,legal,kz,boardSize,CSRcmte,CEOdual,freeFloatShareholding,insiderShareholding,country_name,industry_name,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,industry_1010,industry_1510,industry_2010,industry_3010,industry_3020,industry_3030,industry_3510,industry_4010,industry_4020,industry_4030,industry_4040,industry_4050,industry_4510,industry_4520,industry_5010,industry_5020,industry_5510,industry_5520,industry_6010,industry_6510,g_family,g_gov,propensity_score,_weight
2.0,2016,4040,0.05,0.0,0.1,0.0,0.0,0.0,4.9,0,9.794437727,1.0,0.0,0.0,0.0,9.56,0.0017,0.2085,0.0486,2.0,1.0,1.0,-3.77993,0.0,0.0,0.0,0.34,0.000127164,Indonesia,Retail,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6303497646897327,1
2.0,2017,4040,0.05,0.0,0.11,0.0,0.0,0.0,5.41,0,10.82224909,1.0,0.0,0.0,0.0,9.63,0.0059,0.1959,0.0471,2.0,1.0,1.0,-3.57426,0.0,0.0,0.0,0.32,0.000127164,Indonesia,Retail,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6243545517601511,1
2.0,2018,4040,0.05,0.0,0.11,0.0,0.0,0.0,5.41,0,10.82224909,1.0,0.0,0.0,0.0,9.72,0.0324,0.2029,0.0563,2.0,1.0,1.0,-3.79214,0.0,0.0,0.0,0.28,0.000127164,Indonesia,Retail,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6222276224739368,1
2.0,2019,4040,-0.11,-0.18,-0.04,19.23,20.89,17.56,8.3,2.959830867,13.63361548,1.0,0.0,0.0,19.97,9.76,0.0034,0.1879,0.0659,2.0,1.0,1.0,-4.15617,4.0,0.0,0.0,0.4,0.000127164,Indonesia,Retail,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.97,0.0,0.5493647143312598,1
2.0,2020,4040,-0.22,-0.34,-0.1,38.13,45.14,31.12,15.87,10.96345515,20.76783555,1.0,0.0,0.0,21.1,9.85,0.1696,0.1177,0.0391,2.0,1.0,1.0,-2.40245,3.0,0.0,0.0,0.4,0.000127164,Indonesia,Retail,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.5400711895121063,1
2.0,2021,4040,-0.17,-0.28,-0.06,33.14,39.04,27.24,15.87,10.96345515,20.76783555,1.0,0.0,0.0,21.64,9.85,0.1599,0.1083,0.047,2.0,1.0,1.0,-3.16342,4.0,0.0,0.0,0.4,0.000127164,Indonesia,Retail,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.64,0.0,0.5200680042396723,1
2.0,2022,4040,-0.08,-0.11,-0.05,24.16,22.01,26.3,16.38,10.96345515,21.79564692,1.0,0.0,0.0,17.31,9.86,0.1282,0.1001,0.031,2.0,1.0,1.0,-2.12811,6.0,0.0,0.0,0.4,0.000127164,Indonesia,Retail,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.31,0.0,0.5005856277914593,1
2.0,2023,4040,0.26,0.3,0.23,0.0,0.0,0.0,26.47,30.11174872,22.82345828,1.0,0.0,0.0,0.0,9.89,0.1543,0.1102,0.0124,2.0,1.0,1.0,-3.08391,5.0,1.0,0.0,0.4,0.000127164,Indonesia,Retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4490035873467303,1
3.0,2015,6010,-0.33,-0.43,-0.22,37.98,45.55,30.41,5.41,2.50679553,8.313180169,1.0,0.0,0.0,47.09,10.91,0.5469,0.0309,0.0072,2.0,1.0,1.0,0.98585,7.0,0.0,0.0,0.5,0.128369299,Indonesia,Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.09,0.0,0.4155144313557869,1
3.0,2016,6010,-0.14,-0.24,-0.04,24.46,26.62,22.29,10.28,2.50679553,18.0471584,1.0,0.0,0.0,45.73,10.94,0.4607,0.0574,0.0051,2.0,1.0,1.0,0.62798,7.0,0.0,0.0,0.5,0.128369299,Indonesia,Energy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.73,0.0,0.4244412340227017,1
3.0,2017,6010,-0.17,-0.31,-0.04,26.87,33.29,20.44,9.37,2.50679553,16.23337364,1.0,0.0,0.0,34.13,10.97,0.4017,0.0764,0.01,2.0,1.0,1.0,0.2596,6.0,0.0,0.0,0.5,0.128369299,Indonesia,Energy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.13,0.0,0.45008977208563977,1
3.0,2018,6010,-0.2,-0.28,-0.13,40.6,49.82,31.37,20.18,21.9269103,18.4401451,1.0,0.0,0.0,32.21,11.01,0.3921,0.0671,0.013,2.0,1.0,1.0,-0.62474,5.0,0.0,0.0,0.5,0.128369299,Indonesia,Energy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.21,0.0,0.45554705846314036,1
3.0,2019,6010,-0.21,-0.1,-0.31,58.37,60.8,55.94,37.61,50.58894594,24.63724305,1.0,0.0,0.0,34.53,11.0,0.5245,0.0624,0.008,2.0,1.0,1.0,0.12522,5.0,1.0,0.0,0.5,0.128369299,Indonesia,Energy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.53,0.0,0.3783748157035349,1
3.0,2020,6010,-0.16,-0.09,-0.24,59.24,63.51,54.96,43.13,54.87768046,31.37847642,1.0,0.0,0.0,69.38,10.95,0.4063,0.0323,0.0064,2.0,1.0,1.0,-0.48323,5.0,1.0,0.0,0.5,0.128369299,Indonesia,Energy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,69.38,0.0,0.34190571333961045,1
3.0,2021,6010,-0.18,-0.17,-0.19,64.46,75.52,53.4,46.66,58.80398671,34.52237001,1.0,0.0,0.0,68.67,11.03,0.3885,0.1448,0.0064,2.0,1.0,1.0,-0.25276,5.0,1.0,0.0,0.5,0.128369299,Indonesia,Energy,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68.67,0.0,0.38050405185003167,1
3.0,2022,6010,-0.25,-0.2,-0.29,70.07,79.27,60.86,45.48,58.80398671,32.16444982,1.0,0.0,0.0,44.57,11.22,0.2627,0.2777,0.0104,2.0,1.0,1.0,-4.02222,5.0,1.0,0.0,0.5,0.128369299,Indonesia,Energy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44.57,0.0,0.42840151536516224,1
3.0,2023,6010,-0.22,-0.18,-0.26,67.75,73.94,61.55,45.71,55.66294171,35.7617896,1.0,0.0,0.0,41.69,11.2,0.2125,0.1608,0.009,2.0,1.0,1.0,-3.5035,5.0,1.0,0.0,0.5,0.128369299,Indonesia,Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.69,0.0,0.38975220671016664,1
4.0,2015,6010,-0.11,-0.08,-0.15,25.75,23.61,27.89,14.49,15.94684385,13.02902056,1.0,0.0,0.0,19.87,10.18,0.6378,0.0758,0.0371,2.0,1.0,1.0,0.31877,3.0,0.0,0.0,0.33,0.020130904,Indonesia,Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.87,0.0,0.5234127499593272,1
