Variable,Model 1,Model 2,Model 3
Family,-0.0049,-0.0146,0.0046
,(-0.64),(-1.53),(0.55)
G,-0.0035***,-0.0029***,-0.0041***
,(-34.08),(-22.77),(-37.08)
Size,-0.0196***,-0.0149***,-0.0241***
,(-10.59),(-6.50),(-12.15)
Lev,0.0002,0.0000,0.0004
,(0.39),(0.03),(0.71)
ROA,0.0335,0.0495,0.0181
,(1.17),(1.38),(0.58)
MTB,-0.0554,-0.0379,-0.0750*
,(-1.35),(-0.74),(-1.70)
KZ,0.0005,-0.0008,0.0017***
,(0.85),(-1.09),(2.79)
Board Size,-0.0078***,-0.0073***,-0.0084***
,(-15.96),(-11.95),(-15.88)
CEO Duality,-0.0024,-0.0018,-0.0026
,(-0.48),(-0.30),(-0.48)
CSR Committee,-0.0932***,-0.0775***,-0.1088***
,(-19.03),(-12.72),(-20.66)
G*Family,0.0002,0.0002,0.0001
,(1.22),(1.20),(0.94)
Year,Y,Y,Y
,,,
Industry,Y,Y,Y
,,,
_cons,0.2799***,0.2841***,0.2747***
,(10.83),(8.84),(9.89)
adj. R-sq,0.427,0.310,0.446
